Hour;EOM_price;H2_price;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;PROD_Import;PROD_CCGT_new;PROD_WindOffshore;PROD_SPP_coal;PROD_WindOnshore;PROD_Nuclear;PROD_Solar;PROD_OCGT
21.0;69.0861691178907;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.019127719419253324;-0.0007399786059417581;-0.026524360049137084;0.0;0.004477634997969275;2.149580649353302e-13;0.282061647399804;0.047088000000000005;0.00017590778587543422;0.0
22.0;69.08616911250962;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.027974382127431568;-0.0007425799960704925;-0.02652436004913719;0.0;0.004530644993143307;2.1495806493670022e-13;0.2881496667447211;0.047088000000000005;6.118535403745207e-5;0.0
23.0;69.0861691084644;70.5708782091009;-7.722854079025559e-12;-0.01215605813745389;-0.03411647334314655;-0.0007402062328270851;-0.026524360049137014;0.0;0.0042160050018831205;2.149580649161758e-13;0.2823420571290668;0.047088000000000005;4.9712939598027056e-5;0.0
24.0;69.0861691090986;70.5708782091009;-7.722854079025559e-12;-0.012156058129284336;-0.037470022588473595;-0.0007406873273587135;-0.02652436004913714;0.0;0.003946679997626961;2.1495806491994982e-13;0.28351354894760916;0.047088000000000005;4.9712939598027056e-5;0.0
25.0;69.08621064773597;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.038784235023627704;-0.007486084280817894;-0.026524399260368228;0.0;0.0017099999926798255;2.36748847161316e-13;0.25950419342889536;0.047088000000000005;0.0004933069706393497;0.0
26.0;69.0862106383804;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.03237480672536558;-0.007482437192071423;-0.026524399260367884;0.0;0.001558665001913736;2.3674884711054777e-13;0.24672371256488354;0.047088000000000005;0.0004627142936066168;0.0
27.0;69.08621060873041;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.02590889952275182;-0.007479276893908485;-0.026524399260368196;0.0;0.0012628349933635613;2.367488470163526e-13;0.23542629216821734;0.047088000000000005;0.00015296338513281138;0.0
28.0;69.0862105970907;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.01969558378162963;-0.006963945906057047;-0.026524399260368085;0.0;0.0009841050044593963;2.367488469646021e-13;0.22451521406520206;0.047088000000000005;7.265776847403727e-5;0.0
29.0;69.08621059439413;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.0175395122230867;-0.00479235174084699;-0.026524399260368117;0.0;0.0006925499974672238;2.36748846946249e-13;0.219299581686136;0.047088000000000005;7.265776847403727e-5;0.0
30.0;69.08621060152356;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.01650212665713021;-0.003903180042422332;-0.026524399260368113;0.0;0.0006027749915771706;2.36748846959639e-13;0.217966074215875;0.047088000000000005;0.0001759077858725944;0.0
31.0;69.08621071790307;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.013654523514502304;-0.0016698425150736417;-0.02652439926036799;0.0;0.0005463450032051372;2.367488472111536e-13;0.21076264385679033;0.047088000000000005;0.0017552545771352876;0.0
32.0;69.08621236553196;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.01631865283033396;-0.003745920701526705;-0.02652439926036812;0.0;0.000541214993287134;2.367488509917826e-13;0.20358413880697346;0.047088000000000005;0.02360224797595782;0.0
33.0;69.08621695154835;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.033316331695955555;-0.007432229476596457;-0.026524399260368023;0.0;0.0006181649945031795;2.3674886152453184e-13;0.1879310103424581;0.047088000000000005;0.08435547485901129;0.0
34.0;69.08622191606733;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.05281549918652979;-0.0073807960699159925;-0.026524399260368113;0.0;0.0007618050039272647;2.367488729092254e-13;0.1634729981154461;0.047088000000000005;0.150167965010627;0.0
35.0;69.08622558210374;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.07092212062003592;-0.007330827249200384;-0.026524399260368044;0.0;0.0009131400081073541;2.367488813278561e-13;0.1505305027411936;0.047088000000000005;0.1987300115946231;0.0
36.0;69.08622736252912;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.08471937392150991;-0.008654664253885641;-0.026524399260368054;0.0;0.0009285299976193633;2.36748885811692e-13;0.15266162124950208;0.047088000000000005;0.22432460728774684;0.0
37.0;10.000014980869736;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.08535628678376336;-0.008929399993894405;-0.026524399260368096;0.0;0.0009293850056059934;0.0;0.15230020312363252;0.03694120483311376;0.23259992578271024;0.0
38.0;10.000014275483156;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.08535628678376271;-0.008929399993894421;-0.02652439926036812;0.0;0.0010559249953840729;0.0;0.14866110112166625;0.045452597736524346;0.22304353899033627;0.0
39.0;69.0862250332451;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.06960684655746352;-0.0073361152379545795;-0.026524399260368304;0.0;0.0010935450014194607;2.3674888005280887e-13;0.14606263192311728;0.047088000000000005;0.1915063161048907;0.0
40.0;69.08622148114192;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.04281109476123417;-0.0073782239019915255;-0.026524399260368363;0.0;0.0012482999987975523;2.3674887186661594e-13;0.1458258403435953;0.047088000000000005;0.14454656114103612;0.0
41.0;69.08621684014552;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.011008903200467933;-0.0019774721237111868;-0.026524399260368328;0.0;0.0016262100050677757;2.367488611753065e-13;0.14763292868994451;0.047088000000000005;0.0831623604547347;0.0
42.0;163.04482780610863;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-1.7923133750873932e-14;-3.4223799982933343e-15;-0.026524399260368224;0.014225848606021416;0.0030942449928310542;2.109702858313108e-12;0.16874471244036562;0.047088000000000005;0.026944497620697384;1.3832327639632574e-15
43.0;163.04482563788739;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-1.792313418187219e-14;-3.422380080595483e-15;-0.026524399260368346;0.01563470450762171;0.004635810001989964;2.1097024829207617e-12;0.19269798715470463;0.047088000000000005;0.005514329285893689;1.3832326713006515e-15
44.0;69.08621073712258;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.001956209758247315;-0.0008283165545517434;-0.026524399260368207;0.0;0.006180795004310465;2.3674884727014193e-13;0.21799099952514284;0.047088000000000005;0.0018279119175011117;0.0
45.0;69.08621070617937;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.012080262830872567;-0.0028957365826958767;-0.02652439926036843;0.0;0.006485175002562645;2.367488472383472e-13;0.23440435220528175;0.047088000000000005;0.001437855820507599;0.0
46.0;69.08621067461634;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.015868173826584397;-0.006142460223792415;-0.026524399260368262;0.0;0.006475769991086639;2.367488471869586e-13;0.24369528178145625;0.047088000000000005;0.0009560208361377536;0.0
47.0;69.08621065178694;70.5709179592766;-8.505692938120793e-12;-0.010032786834923216;-0.02259592742581673;-0.00748333563948744;-0.026524399260368405;0.0;0.005700285000890182;2.3674884714895997e-13;0.2500138602371005;0.047088000000000005;0.0006156776787702819;0.0
48.0;69.08621062594723;70.5709179592766;-8.505692938120793e-12;-0.010032786754098978;-0.027918682508836744;-0.007483687470856431;-0.026524399260368373;0.0;0.0061004250098964175;2.367488470914709e-13;0.25091117365369714;0.047088000000000005;0.0002676862451098605;0.0
