Year;CAP_SMR;CAP_SMRCCS;CAP_Alkaline_base;CAP_Alkaline_peak;PROD_SMR;PROD_SMRCCS;PROD_Alkaline_base;PROD_Alkaline_peak;IMPORT_Import;CN_CAP_Alkaline_base;CN_CAP_Alkaline_peak;CN_PROD_Alkaline_base;CN_PROD_Alkaline_peak;H2CfD_Alkaline_base;H2CfD_Alkaline_peak;H2FP_Alkaline_base;H2FP_Alkaline_peak;PriceH2;PremiumH2CN_prod;PremiumH2CN_cap;PremiumFP;StrikeH2CfD;RefH2CfD
2038.0;6.365783374951063e-6;27.209365480697855;118.80012509631803;114.79434281328632;2.2364789204364236e-7;7.222849732678717;17.48780425849771;6.501043140347361;0.772834393074273;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.351418162410576;0.0;0.0;0.0;0.0;3.343436648673751
2039.0;6.9264203754821745e-6;27.20936548120517;127.60405288647536;129.57863985822087;2.0884603513108736e-7;7.222849724738639;17.68649566953304;7.460095690274296;1.125997207159631;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.278198877873184;0.0;0.0;0.0;0.0;3.261794386849302
2040.0;7.621260627363473e-6;27.209365481674535;131.86002331749268;148.89498957872462;1.9753464282080534e-7;7.222849047350212;17.487804258481518;8.804765031080686;1.4834435528910908;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.1871667136845376;0.0;0.0;0.0;0.0;3.1613881829441732
2041.0;8.45123345654002e-6;27.209365482138093;131.85327331753558;189.30124255144088;1.7428249781956957e-7;5.700376222079766;19.10984584099213;11.707507326907827;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.9630844468665267;0.0;0.0;0.0;0.0;2.9479109771447645
2042.0;9.443368464578e-6;27.209365482650274;131.84652331757476;193.82936200103325;1.617837312732021e-7;5.933140452612947;19.996706850130757;12.060395807165078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.764005760850976;0.0;0.0;0.0;0.0;2.760364830407833
2043.0;1.062277728912775e-5;27.20936548328539;131.84652331759273;201.86810139662174;1.716669048047551e-7;6.012692723326193;20.655489397620926;12.770198165478321;0.06464172160014477;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0414167375484134;0.0;0.0;0.0;0.0;3.027332939278779
2044.0;1.1977116219531426e-5;27.209365483991828;130.496523317679;229.9756209858239;1.6308312240029885e-7;5.658488966195229;20.43836061886823;14.907006924498132;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.8854281027620674;0.0;0.0;0.0;0.0;2.8812094993960167
2045.0;1.3540798005533773e-5;27.209365484872855;129.14652331779178;293.86236736711555;1.5815283245366e-7;2.331112312445647;20.382534831093697;19.788701774813244;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.774111897778139;0.0;0.0;0.0;0.0;2.7699489585942514
2046.0;1.5347794159457302e-5;27.20936548607324;122.63156725160606;319.50728516953916;1.5429274714954557e-7;2.556453163358713;19.59421038515909;21.85210155414571;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.6603040135530827;0.0;0.0;0.0;0.0;2.646938313772396
2047.0;1.7439079763762222e-5;27.209365487832493;136.47886563736915;322.03885362917845;1.514063425901535e-7;2.6940807138119123;21.008572653907592;21.80267706873383;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5436198286637373;0.0;0.0;0.0;0.0;2.520580384896428
2048.0;1.9858882484338164e-5;23.709365491030105;150.24031158154585;322.0388536290984;1.4919721980532699e-7;2.7532967531257326;22.701373564864785;21.55615827123972;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.4199312132301913;0.0;0.0;0.0;0.0;2.386711434715765
2049.0;2.266931377379588e-5;20.20936549891926;171.37665462435797;322.0388536252547;1.4873330360769553e-7;2.8117317924772927;24.164299086652875;21.27465266643507;0.2568329444491215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3201184956533205;0.0;0.0;0.0;0.0;2.2677920543904366
2050.0;2.593745820348261e-5;9.055947962241936e-7;187.7261927430033;297.9004806090303;1.5180953362982343e-7;1.1352148703163302e-7;26.408481729960084;20.828795459921132;2.743544418879372;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2861703230645185;0.0;0.0;0.0;0.0;2.194024565264768
2051.0;2.973206449238835e-5;9.191834730699327e-7;187.7261927515308;297.90048060964875;1.501915505528597e-7;1.1131892131894256e-7;26.40552159062178;20.847250433120486;2.730409318216978;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.143891422542627;0.0;0.0;0.0;0.0;2.044978969264491
2052.0;3.413741122478199e-5;9.277461049211842e-7;215.37144620172515;297.90048061147667;1.4836789541522972e-7;8.986416675833344e-8;28.711837017782777;19.38935880861534;1.8989608427895845;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.009839821293755;0.0;0.0;0.0;0.0;1.9179081294285754
2053.0;3.921845656643448e-5;9.397746264066246e-7;230.31463216921253;314.4546298562983;1.4763547243771574e-7;4.793946985763482e-8;29.717599780354842;19.313318437225135;0.9740175014749175;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.8708011791423174;0.0;0.0;0.0;0.0;1.7846591442408744
2054.0;4.49429048072743e-5;9.60878871721026e-7;231.55321635644165;330.88620791092285;1.4882784073278227e-7;4.4907560707106856e-8;30.261033023660673;19.689225597643993;0.0484049233259468;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7370457031689703;0.0;0.0;0.0;0.0;1.6572005116369952
2055.0;5.099987806388859e-5;9.966455979436718e-7;229.89596582278145;332.4661155588692;1.547857127285983e-7;3.6571421173661324e-8;30.19428445917228;19.80407871220237;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5950998895679611;0.0;0.0;0.0;0.0;1.5218315552884227
2056.0;5.6619174534633905e-5;1.0516718126977693e-6;226.9873066924209;334.93016759845506;1.644708348546478e-7;3.2839036498348644e-8;29.961251138379744;20.037597038009455;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4660500824045202;0.0;0.0;0.0;0.0;1.3986825265144975
2057.0;6.0968693182451776e-5;1.112595564676977e-6;220.71047241164447;339.73420530717556;1.754644121359154e-7;3.083471713603007e-8;29.456050510717265;20.543334731356094;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3388486651550642;0.0;0.0;0.0;0.0;1.2772295176133412
2058.0;6.391320623389102e-5;1.1664421382331479e-6;218.7103416255107;343.292906374164;1.8727400820823579e-7;3.013723644037164e-8;29.221615725418165;20.782153720097163;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.234286465277507;0.0;0.0;0.0;0.0;1.1781379939816572
2059.0;6.589510545398191e-5;1.200899857324164e-6;209.89966383737809;332.5150117814963;2.012031471545149e-7;3.1854172562777766e-8;29.127400903161078;20.846643799250813;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2258054046814475;0.0;0.0;0.0;0.0;1.169654236012682
2060.0;6.583931768622146e-5;1.1650709688354513e-6;205.63694340636076;313.1919120609925;1.2953036544423164e-7;6.482694680723512e-8;28.244963637427286;20.382989752496094;1.3932726641949136;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9335058220608805;0.0;0.0;0.0;0.0;1.8462877019136708
