2041;id;scenario;sensetivity;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;SMR_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak;PtH_PROD_CN_base_2030;PtH_PROD_CN_peak_2030;PtH_CAP_CN_base_2030;PtH_CAP_CN_peak_2030;PS_cost;H2S_cost;Ind_cost;PS_cost_diff;H2S_cost_diff;Ind_cost_diff
FP_5000;51;9;expensive-peak-PtH;103.918;77.145;11.089;72.328;167.924;103.549;62.413;3.734;105.147;103.878;-6.064;-29.070;1.711;0.000;0.000;-83.152;-213.997;2.864;3.462;-91.741;4187.399;402.597;-44.468;18.483;25.723;-0.262;-382.6;58687.692;9141.953795;49545.739;-303.5293488;5975.07106;-79.03455324;49545.73854;2490.450108;47055.28843;4785;4285;79.912;70.088;55.106;53.976;5064.403;96.759;863.469;1.30621;-1.44071;-1.85577
FP;53;3;expensive-base-PtH;69.412;109.862;10.983;74.357;167.827;42.071;128.509;3.689;104.255;104.281;7.440;-0.924;0.455;0.000;0.000;129.662;-157.552;-2.069;14.798;-62.539;4187.399;406.741;-44.481;26.736;17.685;-0.059;-77.7;-77.701;9314.698583;-9392.399;-130.7845609;5916.048794;;-9392.399463;2490.450108;-11882.84957;5437;3965;69.305;80.695;42.062;67.164;5077.133;87.483;865.353;18.48361;13.58344;-1.28544
FP_fix;54;10;expensive-base-PtH;69.547;112.957;7.714;74.957;167.350;41.145;130.092;2.427;104.216;103.279;8.189;3.057;0.739;0.000;0.000;63.080;135.796;24.007;6.439;-123.137;4187.399;407.374;-41.507;27.767;13.664;-0.075;106.2;59176.441;9491.268627;49685.172;45.78548344;6022.625039;60.39930363;49685.1724;2490.450108;47194.72229;5569;3562;69.420;80.580;41.134;74.662;5073.238;87.284;865.644;14.58834;13.38478;-0.99397
FP_3000;55;7;expensive-base-PtH;68.438;108.992;12.058;73.555;169.356;44.422;127.528;4.130;104.275;103.741;8.935;2.214;0.844;0.000;0.000;-122.205;-62.265;86.116;7.983;-37.796;4187.399;411.330;-9.901;20.897;-10.882;0.114;-128.2;58942.090;9220.915903;49721.174;-224.5672405;5855.183491;96.4009744;49721.17407;2490.450108;47230.72396;5077;3000;68.326;81.674;44.412;89.842;5070.549;93.076;867.435;11.8989;19.17644;0.79659
FP_4000;56;8;expensive-base-PtH;69.103;108.014;11.884;73.730;169.743;52.317;118.897;4.037;104.340;103.282;11.446;-4.960;0.597;0.000;0.000;-158.179;-177.331;64.842;11.385;-14.989;4187.399;409.749;-21.101;22.178;-1.089;-0.011;-274.3;58795.985;9198.50143;49597.483;-246.9817135;5844.873061;-27.28991324;49597.48318;2490.450108;47107.03307;4353;4000;68.990;81.010;52.305;66.833;5072.440;92.960;866.719;13.79052;19.061;0.08016
FP_5000;57;9;expensive-base-PtH;69.417;108.025;12.006;73.866;169.081;45.756;124.108;4.101;104.254;103.339;8.998;-5.428;0.513;0.000;0.000;-29.776;-187.806;35.152;10.558;-40.735;4187.399;408.222;-32.158;23.653;8.477;-0.029;-212.6;58857.650;9213.859344;49643.790;-231.6238;5855.564951;19.01738035;49643.79048;2490.450108;47153.34037;5000;4067;69.312;80.688;45.746;65.464;5070.377;89.242;866.022;11.7273;15.34266;-0.61647
FP;59;3;high-RES-buildout;90.935;91.773;5.157;78.794;165.827;61.958;109.828;1.400;102.763;102.024;-33.317;12.552;4.496;0.000;0.000;398.957;199.640;-390.096;-176.116;-193.200;4187.399;364.207;-53.339;36.184;17.538;0.383;-160.8;-160.815;9334.451601;-9495.266;-111.0315422;6029.363602;;-9495.266347;2490.450108;-11985.71645;5146;3906;76.649;73.351;49.156;61.967;5030.941;82.723;846.789;14.17739;4.06688;-1.16188
FP_fix;60;10;high-RES-buildout;99.688;87.534;2.986;78.878;163.450;66.828;105.551;0.700;102.736;102.207;-32.292;13.797;4.003;0.000;0.000;300.698;539.800;-353.056;-180.533;-244.005;4187.399;366.122;-39.411;34.137;5.596;0.322;62.9;59133.160;9513.912296;49619.248;68.42915199;6178.304327;-5.525168802;49619.24793;2490.450108;47128.79782;5082;3517;76.776;73.224;49.852;68.708;5028.714;84.261;847.580;11.95016;5.60562;-0.37173
FP_3000;61;7;high-RES-buildout;94.526;88.652;7.602;77.713;164.002;86.961;98.478;2.318;102.739;102.829;-32.280;41.876;4.204;0.000;0.000;-0.162;312.070;-286.727;-176.176;-171.840;4187.399;370.500;-7.187;29.681;-22.203;0.291;-322.8;58747.421;9332.059861;49415.362;-113.4232828;6044.857812;-209.4115535;49415.36154;2490.450108;46924.91143;3319;3000;75.907;74.093;75.473;81.502;5028.002;93.934;849.429;11.23901;15.2784;1.47766
FP_4000;62;8;high-RES-buildout;91.347;88.183;7.333;77.864;167.755;74.273;98.260;2.194;102.974;102.027;-31.183;5.161;4.410;0.000;0.000;126.222;175.194;-320.144;-179.896;-179.655;4187.399;367.605;-26.563;30.666;-3.818;0.285;-378.3;58691.978;9156.428497;49535.549;-289.0546464;5924.492276;-89.22361605;49535.54948;2490.450108;47045.09937;4000;4000;76.390;73.610;63.022;60.729;5028.076;85.994;848.204;11.31291;7.33811;0.25226
FP_5000;63;9;high-RES-buildout;90.876;91.339;5.163;78.712;166.381;63.448;108.494;1.400;102.773;101.803;-33.183;12.317;4.606;0.000;0.000;346.377;206.582;-381.175;-175.975;-189.785;4187.399;364.514;-50.474;35.446;15.278;0.250;-194.0;58876.280;9307.760097;49568.520;-137.7230466;6013.069242;-56.25305523;49568.52004;2490.450108;47078.06993;5000;3966;76.631;73.369;50.576;61.054;5030.105;82.996;846.937;13.34109;4.33993;-1.01438
FP;65;3;low-RES-buildout;107.937;42.086;17.850;41.672;222.983;68.143;73.001;6.837;65.323;462.269;-1074.898;-372.783;40.626;0.000;248.095;-23991.174;-5336.314;11146.414;-1032.534;16688.728;4187.399;1000.251;227.119;-61.808;-164.866;0.445;-2524.9;56545.375;7403.211239;49142.164;-2042.271905;4950.772396;-482.6090181;49142.16408;2491.450108;46650.71397;5331;1925;107.924;42.078;66.807;72.146;4865.868;80.043;1266.867;378.74808;21.00049;25.38333
FP_fix;66;10;low-RES-buildout;100.345;49.579;17.841;41.586;223.188;74.383;80.768;6.837;55.970;470.453;-1074.898;-333.402;44.930;0.000;248.889;-23991.174;-5336.314;11176.116;-1035.836;16716.076;4187.399;1002.197;240.595;-62.605;-177.566;0.424;-2471.1;56599.123;7457.402977;49141.720;-1988.080166;4947.495059;-483.052986;49141.72011;2491.450108;46650.27;5608;2063;100.193;49.567;58.954;79.301;4873.689;83.109;1270.000;386.5698864;24.06646176;28.51677
FP_3000;67;7;low-RES-buildout;104.920;45.083;17.952;41.452;223.104;116.215;49.704;6.837;67.284;483.372;-1074.898;-333.402;44.666;0.000;245.101;-23991.174;-5336.314;11218.809;-1033.013;16629.444;4187.399;1005.720;262.323;-63.695;-198.538;0.089;-2512.2;56558.007;7425.800296;49132.207;-2019.682848;4950.104601;-492.5661894;49132.20691;2492.450108;46639.7568;3000;3000;104.918;45.082;115.409;49.591;4856.137;92.636;1272.175;369.01699;33.59318;30.69187
FP_4000;68;8;low-RES-buildout;104.779;45.232;17.919;41.451;223.026;87.836;55.320;6.837;66.648;480.525;-1074.898;-372.783;44.503;0.000;246.216;-23991.174;-5336.314;11229.101;-1037.496;16632.884;4187.399;1004.533;259.010;-63.743;-194.780;0.487;-2503.0;56567.255;7427.348424;49139.907;-2018.134719;4950.367739;-484.866145;49139.90695;2493.450108;46646.45684;4000;2707;104.771;45.231;86.436;55.141;4856.213;82.913;1271.634;369.09398;23.86996;30.15111
FP_5000;69;9;low-RES-buildout;105.030;44.993;17.901;41.584;222.906;71.321;70.451;6.837;65.018;467.518;-1074.898;-372.010;44.571;0.000;248.147;-23991.174;-5336.314;11181.680;-1038.489;16684.657;4187.399;1001.757;239.051;-62.562;-175.872;0.617;-2499.6;56570.616;7426.014829;49144.601;-2019.468315;4950.748203;-480.1718952;49144.6012;2494.450108;46650.15109;5000;2114;105.010;44.991;69.307;70.232;4863.515;80.896;1268.625;376.39528;21.85362;27.14144
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
