2035;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_price_2040;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;PtH_base_H;PtH_peak;;;;
QT;46;76;Cheap-RES;2.56;2.4;0;6.2;7;1.2;13.1;38.3;65.2;7;90.5;104.9;0.2;-0.2;-0.2;0;0;4.1;-4.1;-0.1;0;0;250.3;403.1;-10.296;1.301;8.886;0;0;3275.838;679.7185815;2596.12;-9.87743513;437.1358216;9.876835843;5353;3556;;;;
REF;47;1;expensive-RES;2.48;2.3;0;5.9;7.7;1.2;12.7;35.6;68;7;88.7;100.5;1399.917;509.977;98.011;6.592;27.468;2425.609;562.118;119.187;0.552;183.33;;404.1;3567.322;513.64;15184.842;19266;3290.8;3290.797;704.5499859;2586.247;14.95396933;450.5780569;;5470;3761;;;;
CT;48;22;expensive-RES;2.46;2.3;0;6;7.8;1.1;12.6;36.1;68.9;7;88.8;100.5;2.4;1.8;0;0;0;6.8;-0.6;-0.9;0;0.7;250.6;403.6;-12.491;0.042;12.365;0;6.1;3281.899;710.5354665;2571.363;20.93944987;454.5596902;-14.87975051;5475;3729;;;;
HT_3500;49;126;expensive-RES;2.48;2.3;0;5.5;8.1;1.2;12.7;33;70.6;7;88.7;100.5;2.3;-1.2;-0.6;0;0;10.2;-7.4;-0.7;0;0.2;250.4;403.3;-14.386;0.316;13.978;0;2.2;3278.088;706.8194734;2571.269;17.22345683;450.098845;-14.97411726;5522;3795;;;;
HT_3800;50;276;expensive-RES;2.48;2.3;0;5.9;7.8;1.2;12.6;35.2;68.4;7;88.7;100.5;3.2;-1.1;-0.8;0;0;9.8;-6.8;-1;0;-0.4;250.3;403.1;-17.151;0.852;16.21;0;1.6;3277.462;706.1937056;2571.268;16.59768898;451.3286205;-14.97463547;5490;3774;;;;
HT_4000;51;376;expensive-RES;2.48;2.3;0;5.9;7.7;1.2;12.7;35.8;67.8;7;88.7;100.5;2.5;-1.1;-0.6;0;0;8.5;-6.5;-0.8;0;-0.3;250.3;403.1;-16.968;0.77;16.099;0;0.9;3276.737;705.4611173;2571.275;15.8651007;451.2750494;-14.96746916;5477;3765;;;;
QT;52;76;expensive-RES;2.48;2.3;0;6;7.7;1.2;12.7;36;67.6;7;88.6;100.4;1.4;-0.7;0.6;0;0;6.1;-5.3;-0.3;0;-0.2;250.1;402.9;-10.216;1.388;8.743;0;0.3;3276.12;704.7750546;2571.345;15.17903799;450.9883365;-14.89760302;5469;3760;;;;
REF;53;1;cheap-import;2.44;2.3;0;5.3;7.7;0.5;14;32.3;70.8;3.5;90.1;104.1;1392.131;470.864;97.652;6.592;27.468;2422.085;521.961;125.444;0.639;188.716;;403;3655.674;438.414;15171.615;19266;3258.8;3258.846;672.6407325;2586.205;-16.95528411;428.5382402;;5411;3583;;;;
CT;54;22;cheap-import;2.34;2.3;0;4.8;8.3;0.5;13.9;29;76;3.5;90;104;1.3;5.4;-0.2;0;0;7.8;2.8;-0.9;0;1.4;250.1;402.7;-14.502;-0.065;14.529;0;11;3286.875;683.6716876;2603.203;-5.924329008;432.9127595;16.95987273;5486;3606;;;;
HT_3500;55;126;cheap-import;2.44;2.3;0;4.7;8.3;0.5;14;28.1;75.4;3.5;90;104;0.7;2.5;-0.1;0;0;8.9;-3.1;-0.5;0;0.6;249.5;401.9;-23.81;0.304;23.467;0;5.9;3281.783;678.5965834;2603.186;-10.99943319;429.2268626;16.94303292;5490;3642;;;;
HT_3800;56;276;cheap-import;2.44;2.3;0;5.2;7.8;0.5;14;31.7;71.4;3.5;90.1;104;-0.3;0.6;0;0;0;5;-4.7;0;0;0;249.4;401.6;-26.106;0.491;25.541;0;0.4;3276.219;673.0338657;2603.185;-16.56215086;428.3991256;16.94247711;5420;3592;;;;
HT_4000;57;376;cheap-import;2.44;2.3;0;5.4;7.6;0.5;14;32.9;70.2;3.5;90.1;104;-0.6;-0.5;0.1;0;0;3.9;-5.5;0.3;0;0;249.3;401.6;-26.714;0.528;26.116;0;-1.4;3274.479;671.2869378;2603.192;-18.30907881;428.1417047;16.94923499;5396;3571;;;;
QT;58;76;cheap-import;2.44;2.3;0;5.4;7.6;0.5;14;33.1;69.9;3.5;90.1;104;-1.5;0;0.2;0;0;1.8;-4.3;0.5;0;0;249.2;401.4;-20.639;0.58;20.032;0;-2;3273.888;670.6890492;2603.199;-18.90696743;427.8878965;16.95571589;5390;3568;;;;
REF;59;1;expensive-import;2.61;2.5;0;7.9;6.5;4;9.1;49.2;62.1;22.8;89.6;102.7;1423.567;506.512;93.461;6.592;27.468;2460.957;558.724;111.439;0.751;185.537;;406.8;3517.998;622.272;15125.81;19266;3317.4;3317.408;730.3166613;2587.092;40.72064474;475.5917417;;5325;3444;;;;
CT;60;22;expensive-import;2.62;2.5;0;8.1;6.5;3.6;9.2;50.3;62.8;20.8;89.8;102.6;5.3;3.5;-1.4;0;0;10.2;0.9;-2.2;0.2;0.3;252.4;406.5;-20.077;8.474;11.687;0;9.5;3285.31;740.0911433;2545.219;50.49512674;482.403375;-41.02434332;5341;3409;;;;
HT_3500;61;126;expensive-import;2.62;2.5;0;7.8;6.8;3.7;9.2;48.2;65;21.1;89.6;102.6;1.3;6.7;-0.6;0;0;8.3;1.9;-1.1;0;1;252;405.8;-21.076;8.039;13.097;0;10.1;3285.982;740.7565292;2545.226;51.1605126;481.3126304;-41.01723634;5350;3437;;;;
HT_3800;62;276;expensive-import;2.62;2.5;0;8.1;6.5;3.8;9.2;50;62.5;21.6;89.6;102.6;1.5;3.8;-0.2;0;0;7.2;-0.7;-0.8;0;0.4;252;405.8;-16.045;5.511;10.587;0;6;3281.863;736.6547391;2545.209;47.05872248;479.9646423;-41.03436347;5313;3426;;;;
HT_4000;63;376;expensive-import;2.62;2.5;0;8;6.5;3.8;9.2;49.8;62.7;21.7;89.6;102.6;0.2;4;1.2;0;0;5.4;-0.4;-0.2;-0.2;0.6;251.9;405.7;-14.16;5.408;8.759;0;5.2;3280.99;735.7204761;2545.27;46.12445954;479.3363512;-40.97332815;5327;3412;;;;
QT;64;76;expensive-import;2.62;2.5;0;8;6.4;3.8;9.2;49.9;62.2;22.1;89.5;102.6;-2.9;3.3;1;0;0;0.5;-0.5;0.8;-0.2;0.7;251.6;405.2;-7.939;3.681;4.124;0;1.4;3277.215;731.8556002;2545.359;42.2595836;476.9307165;-40.88356365;5307;3413;;;;
