2030;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_premium_2030;H2_FP_2030;H2_SP_2030;H2_RP_2030;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak
REF;21;1;expensive-PtH;2.69;2.6;0.000;0.000;0.000;2.738;0.2;6.5;2.2;11.1;1.4;54.5;11.4;85.1;104.4;1068.950;400.303;98.680;23.072;47.088;1896.941;444.089;177.836;5.186;334.018;157.8;409.4;3675.271;526.703;15064.046;19266;2858.1;2858.071;367.601326;2490.470;-81.37056433;221.6176968;;2490.470061;2490.450108;0.019952621;5170;3929
CT;22;22;expensive-PtH;2.31;2.6;0.000;0.000;0.000;2.422;0.6;8.9;1.3;9.1;3.5;101.4;8.6;82.6;104.4;24.9;66.7;-0.7;0.0;0.0;78.3;66.5;-19.4;-1.8;27.1;157.4;408.4;-44.640;9.916;34.697;0;150.8;3090.193;518.3021367;2571.891;69.33024635;313.6458498;81.44097758;2571.891086;2490.450108;81.44097758;5332;2908
QT;23;76;expensive-PtH;2.06;2.6;1.720;0.000;0.000;2.242;1.0;9.0;1.4;8.5;5.7;74.5;8.8;82.4;104.3;84.9;67.6;-0.2;0.0;0.0;151.2;69.4;-44.5;-3.9;2.6;156.8;406.8;-43.140;11.988;30.988;0;174.8;3114.195;542.2271999;2571.968;93.2553096;329.9532903;81.51739308;2571.967501;2490.450108;81.51739308;5647;3993
FP;24;176;expensive-PtH;2.06;2.6;0.000;0.370;0.000;2.242;1.0;9.0;1.4;8.5;6.1;74.1;8.8;82.4;104.3;85.2;67.0;-0.2;0.0;0.0;153.7;67.3;-44.5;-3.9;2.5;156.6;406.2;-39.287;12.838;26.284;0;175.1;3114.515;541.810138;2572.705;92.83824768;329.9691777;82.25478345;2572.704891;2490.450108;82.25478345;5561;3994
CfD;25;226;expensive-PtH;2.07;2.6;0.000;0.000;2.920;2.243;1.2;8.8;1.4;8.5;7.3;73.0;8.8;82.5;104.3;83.4;67.2;-0.3;0.0;0.0;151.4;67.2;-43.8;-3.9;2.7;156.6;406.1;-38.941;13.136;25.628;0;173.6;3113.046;540.2543198;2572.792;91.28242951;329.8933346;82.34144661;2572.791555;2490.450108;82.34144661;5523;3969
REF;29;1;high-natural-gas-price;2.56;2.4;0.000;0.000;0.000;2.672;3.1;6.2;0.0;10.6;20.0;55.3;0.2;85.9;106.1;1120.437;451.213;96.356;23.072;47.088;1994.761;498.162;89.018;61.941;337.715;149.2;386.9;3416.577;368.997;15479.803;19265;2981.6;2981.597;491.0922249;2490.505;42.12033459;309.450229;;2490.505165;2490.450108;0.055057401;5176;3722
CT;30;22;high-natural-gas-price;2.30;2.4;0.000;0.000;0.000;2.432;5.0;6.0;0.0;9.0;34.0;70.9;0.2;85.1;106.0;9.0;40.9;0.0;0.0;0.0;32.6;34.6;-5.4;-2.7;19.0;149.1;386.7;-10.844;0.008;10.828;0;78.0;3017.426;564.3061877;2453.120;115.3342974;361.9925119;-37.32981611;2453.120292;2490.450108;-37.32981611;4818;2793
QT;31;76;high-natural-gas-price;2.37;2.4;0.508;0.000;0.000;2.518;4.0;6.0;0.0;10.0;25.1;54.6;0.2;85.8;106.1;25.0;6.6;0.0;0.0;0.0;39.7;2.2;-7.8;-3.9;-2.3;149.0;386.6;-6.083;0.040;6.132;0;27.8;2967.271;518.8024134;2448.468;69.83052306;329.9992514;-41.9819146;2448.468193;2490.450108;-41.9819146;5210;3646
FP;32;176;high-natural-gas-price;2.37;2.4;0.000;0.075;0.000;2.519;4.2;5.8;0.0;10.0;26.6;53.1;0.2;85.8;106.0;24.5;5.7;0.0;0.0;0.0;39.4;0.3;-7.6;-3.7;-2.3;148.8;386.0;-4.024;0.152;3.883;0;26.0;2965.451;517.1282846;2448.323;68.15639426;329.9833579;-42.12717043;2448.322938;2490.450108;-42.12717043;5189;3614
CfD;33;226;high-natural-gas-price;2.37;2.4;0.000;0.000;2.576;2.521;4.4;5.6;0.0;10.0;28.1;51.6;0.2;85.8;106.0;23.2;5.3;0.0;0.0;0.0;37.5;-0.3;-7.2;-3.5;-2.2;148.8;386.0;-3.986;0.146;3.811;0;24.2;2963.624;515.2960891;2448.328;66.32419874;329.8911307;-42.12257924;2448.327529;2490.450108;-42.12257924;5159;3581
REF;35;1;low-natural-gas-price;2.14;2.2;0.000;0.000;0.000;2.178;0.4;4.8;8.1;6.7;2.8;45.1;34.5;85.3;103.0;996.018;375.414;111.765;23.072;47.088;1784.993;415.049;224.882;2.705;345.812;158.9;412.3;3752.733;587.424;14925.836;19266;2773.4;2773.441;282.9257494;2490.515;-166.0461409;171.6381258;;2490.514802;2490.450108;0.064693796;4739;3516
CT;36;22;low-natural-gas-price;1.93;2.2;0.000;0.000;0.000;2.030;3.1;4.3;6.6;6.0;22.7;82.3;33.5;83.3;102.9;28.9;8.0;-3.4;0.0;0.0;89.3;9.9;-17.6;-0.5;21.6;158.5;411.0;-42.560;-1.590;44.150;0;102.8;3042.182;384.8000187;2657.382;-64.1718716;245.4574174;166.9321046;2657.382213;2490.450108;166.9321046;4499;1742
QT;37;76;low-natural-gas-price;1.58;2.2;2.030;0.000;0.000;1.748;5.6;4.4;5.2;4.8;38.7;45.5;31.1;80.3;102.8;127.0;80.1;-9.7;0.0;0.0;219.4;83.6;-76.2;-2.0;0.5;157.7;409.0;-76.155;6.207;69.813;0;225.3;3164.700;505.9260553;2658.774;56.95416496;329.9880804;168.3238813;2658.773989;2490.450108;168.3238813;4780;3187
FP;38;176;low-natural-gas-price;1.57;2.2;0.000;0.484;0.000;1.747;5.7;4.3;5.2;4.8;38.9;45.3;31.1;80.3;102.9;127.0;80.1;-9.7;0.0;0.0;220.4;82.9;-76.2;-2.0;0.5;157.8;409.2;-77.677;5.997;71.578;0;225.4;3164.864;505.2734435;2659.590;56.30155315;330.0148438;169.1402872;2659.590395;2490.450108;169.1402872;4838;3134
CfD;39;226;low-natural-gas-price;1.57;2.2;0.000;0.000;2.562;1.747;5.6;4.4;5.2;4.8;38.2;46.0;31.1;80.3;102.9;127.3;80.2;-9.7;0.0;0.0;220.0;82.7;-76.4;-2.0;0.5;157.8;409.2;-77.608;6.057;71.421;0;224.8;3164.195;505.9045327;2658.290;56.93264237;329.971443;167.8400827;2658.290191;2490.450108;167.8400827;4849;3151
REF;41;1;Cheap-RES;2.55;2.4;0.000;0.000;0.000;2.623;3.2;5.3;1.3;10.0;21.4;51.4;7.2;84.1;105.0;1076.264;438.922;98.152;23.072;47.088;1928.480;486.032;169.572;4.536;347.473;155.9;404.5;3597.298;509.610;15158.899;19266;2936.1;2936.094;445.6165587;2490.477;-3.355331599;282.5440785;;2490.477158;2490.450108;0.027050167;4965;3432
CT;42;22;Cheap-RES;2.27;2.4;0.000;0.000;0.000;2.386;5.0;5.0;1.1;8.8;36.2;68.8;7.2;83.0;105.0;18.7;23.1;-0.1;0.0;0.0;54.3;19.9;-11.1;-1.2;12.6;155.8;404.2;-13.171;-0.693;13.818;0;74.6;3014.037;509.0842649;2504.952;60.11237454;328.9060915;14.50223718;2504.952345;2490.450108;14.50223718;4534;2395
QT;43;76;Cheap-RES;2.13;2.4;1.297;0.000;0.000;2.294;5.3;4.7;1.1;8.7;35.2;46.4;7.2;82.7;104.9;53.1;20.5;0.0;0.0;0.0;81.0;16.3;-25.4;-2.6;-6.9;155.4;403.1;-10.296;1.301;8.886;0;62.4;3001.847;508.0068628;2493.840;59.03497253;329.9870505;3.38975599;2493.839864;2490.450108;3.38975599;5003;3313
FP;44;176;Cheap-RES;2.13;2.4;0.000;0.218;0.000;2.293;5.3;4.7;1.1;8.7;35.2;46.4;7.2;82.7;104.9;53.6;20.2;0.0;0.0;0.0;85.8;15.1;-25.6;-2.6;-7.0;155.3;402.8;-9.885;1.833;7.879;0;65.6;3005.049;508.6101985;2496.439;59.6383082;330.0395203;5.988472768;2496.438581;2490.450108;5.988472768;4952;3359
CfD;45;226;Cheap-RES;2.13;2.4;0.000;0.000;2.670;2.293;5.3;4.7;1.1;8.7;35.1;46.4;7.2;82.7;104.9;53.9;20.0;0.0;0.0;0.0;85.4;14.7;-25.7;-2.6;-7.2;155.2;402.7;-9.858;1.841;7.838;0;64.6;3003.975;508.4996785;2495.475;59.52778817;329.9621872;5.025129625;2495.475238;2490.450108;5.025129625;4954;3362
REF;47;1;expensive-RES;2.53;2.3;0.000;0.000;0.000;2.606;3.2;5.6;1.3;9.8;20.8;53.1;7.2;83.9;100.5;1077.369;445.250;98.119;23.072;47.088;1931.531;492.938;168.280;4.436;347.710;;404.1;3567.322;513.640;15184.842;19266;2944.9;2944.895;454.4311267;2490.464;5.45923634;287.5204266;;2490.464017;2490.450108;0.013908885;4991;3455
CT;48;22;expensive-RES;2.26;2.3;0.000;0.000;0.000;2.379;5.0;5.0;1.1;8.7;36.1;68.9;7.1;82.7;100.5;8.9;30.8;0.0;0.0;0.0;39.8;27.4;-7.5;-0.7;12.3;155.6;403.6;-12.491;0.042;12.365;0;71.3;3010.762;512.6094925;2498.153;63.63760223;331.1339436;7.70275096;2498.152859;2490.450108;7.70275096;4568;2412
QT;49;76;expensive-RES;2.13;2.3;1.274;0.000;0.000;2.295;5.1;4.9;1.1;8.7;33.4;48.1;7.2;82.6;100.4;49.1;19.2;0.1;0.0;0.0;73.8;14.8;-23.4;-2.4;-7.2;155.3;402.9;-10.216;1.388;8.743;0;55.6;2994.974;509.9392229;2485.035;60.96733259;329.9855031;-5.415399706;2485.034708;2490.450108;-5.415399706;5028;3363
FP;50;176;expensive-RES;2.13;2.3;0.000;0.202;0.000;2.294;5.1;4.9;1.1;8.7;33.7;47.9;7.2;82.5;100.4;49.2;19.2;0.1;0.0;0.0;77.8;13.8;-23.5;-2.4;-7.3;155.1;402.2;-7.484;2.393;4.906;0;58.3;2997.729;510.2289312;2487.500;61.25704092;330.0466137;-2.950350165;2487.499758;2490.450108;-2.950350165;4974;3397
CfD;51;226;expensive-RES;2.13;2.3;0.000;0.000;2.615;2.295;5.1;4.8;1.1;8.7;34.2;47.3;7.2;82.6;100.5;48.6;18.9;0.1;0.0;0.0;76.7;13.5;-23.2;-2.4;-7.2;155.1;402.3;-7.813;2.398;5.267;0;57.4;2996.831;509.4450661;2487.386;60.47317576;329.9413633;-3.064336691;2487.385771;2490.450108;-3.064336691;4963;3382
REF;53;1;cheap-import;2.44;2.3;0.000;0.000;0.000;2.513;1.7;5.9;0.6;11.8;11.1;53.6;3.7;84.9;104.1;1065.634;419.031;98.989;23.072;47.088;1904.025;464.354;176.806;5.333;344.293;;403.0;3655.674;438.414;15171.615;19266;2894.8;2894.811;404.332434;2490.479;-44.63945634;250.6210593;;2490.478769;2490.450108;0.028661274;5039;3626
CT;54;22;cheap-import;2.13;2.3;0.000;0.000;0.000;2.248;4.2;5.2;0.5;10.1;29.0;76.0;3.7;83.8;104.0;11.4;31.4;-0.2;0.0;0.0;43.8;28.3;-9.0;-0.9;17.3;155.3;402.7;-14.502;-0.065;14.529;0;79.5;3018.876;483.5015526;2535.374;34.52966226;309.8544368;44.92398915;2535.374097;2490.450108;44.92398915;4773;2257
QT;55;76;cheap-import;1.90;2.3;1.607;0.000;0.000;2.074;4.9;5.1;0.5;9.5;31.6;49.8;3.7;82.8;104.0;67.5;40.1;-0.1;0.0;0.0;111.4;37.9;-34.1;-3.5;-4.1;154.7;401.4;-20.639;0.580;20.032;0;107.6;3046.984;511.8379782;2535.146;62.8660879;329.9828507;44.69559271;2535.145701;2490.450108;44.69559271;5069;3408
FP;56;176;cheap-import;1.90;2.3;0.000;0.309;0.000;2.073;4.8;5.2;0.5;9.5;31.4;50.3;3.7;82.8;104.0;66.4;40.6;-0.1;0.0;0.0;113.8;37.5;-33.8;-3.5;-3.4;154.5;400.9;-19.345;0.874;18.368;0;110.6;3050.066;512.5297167;2537.536;63.5578264;330.0320376;47.08620343;2537.536311;2490.450108;47.08620343;5014;3429
CfD;57;226;cheap-import;1.90;2.3;0.000;0.000;2.598;2.074;4.9;5.1;0.5;9.5;32.2;49.3;3.7;82.8;104.0;66.9;40.1;-0.1;0.0;0.0;114.4;36.8;-33.9;-3.5;-4.1;154.6;401.0;-19.537;0.853;18.639;0;109.7;3049.152;511.5520386;2537.600;62.58014832;329.9446467;47.14986628;2537.599974;2490.450108;47.14986628;5003;3428
REF;59;1;expensive-import;2.63;2.5;0.000;0.000;0.000;2.723;3.9;5.1;4.6;6.1;26.0;49.5;22.9;83.4;102.7;1090.320;443.909;97.520;23.072;47.088;1951.719;490.896;162.723;3.692;346.189;;406.8;3517.998;622.272;15125.810;19266;2955.2;2955.219;464.7405399;2490.478;15.76864957;297.2424367;;2490.478143;2490.450108;0.028034819;4960;3407
CT;60;22;expensive-import;2.44;2.5;0.000;0.000;0.000;2.563;6.0;4.6;3.7;5.3;46.4;58.5;21.0;81.7;102.6;16.8;38.2;-0.2;0.0;0.0;39.5;33.0;-11.7;-0.9;12.1;156.7;406.5;-20.077;8.474;11.687;0;72.0;3011.408;536.3655133;2475.042;87.39362296;350.1453594;-15.40776854;2475.042339;2490.450108;-15.40776854;4269;2595
QT;61;76;expensive-import;2.39;2.5;0.841;0.000;0.000;2.548;5.6;4.4;4.1;5.6;37.7;45.1;22.2;82.3;102.6;34.8;14.4;0.1;0.0;0.0;55.2;11.7;-16.7;-1.6;-2.9;156.2;405.2;-7.939;3.681;4.124;0;45.6;2985.042;506.0598918;2478.982;57.08800148;329.9996727;-11.46836802;2478.98174;2490.450108;-11.46836802;4898;3226
FP;62;176;expensive-import;2.39;2.5;0.000;0.128;0.000;2.546;5.5;4.5;4.1;5.6;37.7;45.1;22.2;82.3;102.7;35.1;14.1;0.1;0.0;0.0;55.2;10.1;-16.8;-1.6;-2.8;156.0;404.6;-5.237;4.628;0.554;0;44.1;2983.565;506.6296099;2476.935;57.65771961;330.0005701;-13.51491073;2476.935197;2490.450108;-13.51491073;4832;3280
CfD;63;226;expensive-import;2.39;2.5;0.000;0.000;2.707;2.547;5.5;4.5;4.1;5.6;37.7;45.0;22.2;82.3;102.7;35.0;14.3;0.1;0.0;0.0;54.5;10.2;-16.7;-1.6;-2.9;156.1;404.9;-7.067;4.243;2.857;0;43.4;2982.811;506.7938352;2476.017;57.82194488;329.998423;-14.43334217;2476.016766;2490.450108;-14.43334217;4810;3300
