2031;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_premium_2030;H2_FP_2030;H2_SP_2030;H2_RP_2030;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak;;;;
HT_3800;24;276;expensive-PtH;2.33;2.6;1.074;0.000;0.000;2.466;0.2;9.8;1.4;10.0;1.9;85.0;8.9;84.0;104.3;16.3;55.3;-0.5;0.0;0.0;59.2;55.2;-13.0;-1.2;21.2;172.9;407.6;-43.607;10.926;32.560;0;121.4;3131.037;548.3088255;2582.728;48.26659975;330.0120825;73.11216762;2582.728276;2490.450108;92.27816824;3800;3800;;;;
HT_4000;25;376;expensive-PtH;2.31;2.6;1.099;0.000;0.000;2.455;0.2;9.8;1.5;9.9;1.5;81.0;8.8;84.2;104.3;23.3;58.2;-0.4;0.0;0.0;67.1;57.7;-15.9;-1.6;14.0;172.9;407.6;-44.243;11.848;32.272;0;121.2;3130.839;548.5998495;2582.239;48.55762384;329.9898329;72.62320406;2582.239313;2490.450108;91.78920467;4000;4000;;;;
QT;26;76;expensive-PtH;2.49;2.6;0.864;0.000;0.000;2.564;1.0;9.0;1.5;9.9;5.7;75.1;8.8;84.0;104.3;26.0;55.7;-0.4;0.0;0.0;63.8;58.0;-16.7;-1.8;10.0;172.5;406.8;-43.140;11.988;30.988;0;113.4;3123.072;542.458088;2580.613;42.41586227;330.0340085;70.99737186;2580.61348;2490.450108;90.16337248;5583;3971;;;;
REF;29;1;high-natural-gas-price;2.60;2.4;0.000;0.000;0.000;2.699;3.7;6.6;0.0;11.2;22.9;58.2;0.1;87.2;106.1;1197.769;443.823;90.415;19.776;43.164;2114.298;491.325;86.563;50.096;303.212;164.1;386.9;3416.577;368.997;15479.803;19265;3045.5;3045.494;535.8846594;2509.609;35.84243365;338.8776789;;2509.608956;2490.450108;19.15884818;5307;3739;;;;
CT;30;22;high-natural-gas-price;2.32;2.4;0.000;0.000;0.000;2.435;5.3;6.4;0.0;9.8;34.0;70.9;0.1;86.6;106.0;0.5;40.9;0.0;0.0;0.0;14.2;37.4;-3.0;-1.4;20.1;164.0;386.7;-10.844;0.008;10.828;0;67.3;3076.984;599.4891018;2477.495;99.44687614;384.6335562;-32.1212572;2477.494851;2490.450108;-12.95525658;5130;2961;;;;
HT_3500;31;126;high-natural-gas-price;2.40;2.4;0.444;0.000;0.000;2.537;3.9;7.3;0.0;10.3;26.3;68.0;0.1;86.5;106.1;3.0;29.5;0.2;0.0;0.0;20.3;27.8;-2.9;-1.3;13.6;164.0;386.6;-10.875;0.020;10.921;0;57.5;3067.152;584.8396682;2482.313;84.79744247;369.4939461;-27.30360435;2482.312504;2490.450108;-8.137603732;4950;3520;;;;
HT_3800;32;276;high-natural-gas-price;2.45;2.4;0.384;0.000;0.000;2.580;3.2;7.7;0.0;10.7;20.1;66.7;0.1;86.5;106.1;9.4;21.3;0.0;0.0;0.0;26.5;18.2;-4.2;-1.8;3.7;164.0;386.7;-9.084;-0.007;9.156;0;42.5;3052.128;571.630205;2480.498;71.58797928;357.8742933;-29.1185462;2480.497562;2490.450108;-9.952545588;5186;3800;;;;
HT_4000;33;376;high-natural-gas-price;2.49;2.4;0.281;0.000;0.000;2.623;2.8;7.7;0.0;11.0;19.1;63.9;0.1;86.5;106.1;3.9;14.8;0.0;0.0;0.0;13.0;10.9;-2.2;-0.9;0.1;164.0;386.7;-8.231;-0.029;8.359;0;21.0;3030.609;554.7709836;2475.838;54.72875785;346.0741901;-33.77837177;2475.837737;2490.450108;-14.61237116;4841;3971;;;;
QT;34;76;high-natural-gas-price;2.56;2.4;0.000;0.000;0.000;2.678;4.0;6.3;0.0;11.2;25.1;55.9;0.1;87.1;106.1;-4.7;6.6;0.0;0.0;0.0;-4.4;3.5;0.9;0.4;-0.7;163.9;386.6;-6.083;0.040;6.132;0;-0.3;3009.354;535.5564466;2473.798;35.5142209;340.2053799;-35.81850744;2473.797601;2490.450108;-16.65250682;5254;3725;;;;
REF;35;1;low-natural-gas-price;2.22;2.2;0.000;0.000;0.000;2.254;0.4;5.7;7.8;7.7;2.8;53.8;34.4;85.4;103.0;1067.614;368.025;113.528;19.776;43.164;1905.632;405.924;210.409;1.327;316.611;174.8;412.3;3752.733;587.424;14925.836;19266;2839.9;2839.903;330.271982;2509.631;-169.7702437;200.0984321;;2509.630628;2490.450108;19.18051992;4883;3468;;;;
