2041;id;scenario;sensetivity;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;SMR_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak;PtH_PROD_CN_base_2030;PtH_PROD_CN_peak_2030;PtH_CAP_CN_base_2030;PtH_CAP_CN_peak_2030;PS_cost;H2S_cost;Ind_cost;PS_cost_diff;H2S_cost_diff;Ind_cost_diff
FP;60;3;high-RES-buildout;90.935;91.773;5.157;78.794;165.827;61.958;109.828;1.400;102.763;102.024;-34.262;22.194;4.826;0.000;0.000;1075.150;935.805;-481.158;-171.735;-183.053;4187.399;364.207;-53.339;36.184;17.538;0.383;1175.0;58909.441;9334.451601;49574.990;743.1946251;6029.363602;431.8144055;49574.98989;2490.450108;47084.53978;5146;3906;76.649;73.351;49.156;61.967;5030.941;82.723;846.789;14.17739;4.06688;-1.16188
CfD;61;4;high-RES-buildout;98.254;87.588;3.068;79.233;164.366;66.254;105.973;0.700;102.719;102.198;-34.751;24.869;4.469;0.000;0.000;980.660;1213.977;-457.422;-178.051;-219.506;4187.399;365.693;-45.158;37.420;8.100;0.362;1339.7;59074.091;9449.322156;49624.769;858.0651797;6132.792207;481.5932941;49624.76878;2490.450108;47134.31867;5143;3643;76.796;73.204;49.277;66.316;5028.930;83.753;847.413;12.16617;5.09704;-0.53871
CG;62;5;high-RES-buildout;91.063;92.283;5.150;78.860;165.107;61.980;109.845;1.400;102.729;102.036;-34.406;23.255;4.842;0.000;0.000;1120.907;943.482;-491.066;-172.240;-182.887;4187.399;363.610;-57.863;36.770;21.207;0.113;1218.2;58952.629;9368.585633;49584.044;777.3286566;6050.450713;440.8680491;49584.04354;2490.450108;47093.59343;5155;3960;76.786;73.201;49.152;60.995;5032.276;82.657;846.547;15.51222;4.00179;-1.40406
TD;63;6;high-RES-buildout;89.780;88.578;7.984;77.572;168.499;63.893;107.659;2.427;102.873;101.954;-32.204;16.566;4.443;0.000;0.000;888.512;838.472;-421.985;-173.028;-168.566;4187.399;366.727;-29.797;28.901;1.435;0.539;963.4;58697.837;9104.256077;49593.581;512.999101;5885.802675;450.4058123;49593.5813;2490.450108;47103.13119;4824;3753;76.987;73.006;52.664;64.193;5028.627;84.012;847.853;11.86401;5.35661;-0.09788
REF;65;1;low-RES-buildout;19.664;8.258;61.016;42.621;300.856;62.760;25.506;18.843;218.779;224.241;-1010.020;-323.760;42.107;0.000;142.223;-23314.981;-4600.149;10111.718;-1028.989;11619.740;4187.399;971.307;0.000;0.000;0.000;0.000;-7212.7;50521.771;1381.174783;49140.596;-7210.082193;921.404808;-2.579593571;49140.59589;2491.450108;46649.14579;2688;1481;0.000;0.000;0.000;0.000;4487.120;59.043;1241.483;0;0;0
FP;66;3;low-RES-buildout;107.937;42.086;17.850;41.672;222.983;68.143;73.001;6.837;65.323;462.269;-1075.843;-363.140;40.956;0.000;248.095;-23314.981;-4600.149;11055.351;-1028.153;16698.875;4187.399;1000.251;227.119;-61.808;-164.866;0.445;-1189.1;56545.375;7403.211239;49142.164;-1188.045738;4950.772396;-1.011409513;49142.16408;2491.450108;46650.71397;5331;1925;107.924;42.078;66.807;72.146;4865.868;80.043;1266.867;378.74808;21.00049;25.38333
CfD;67;4;low-RES-buildout;104.603;45.398;17.810;41.714;223.164;78.913;66.321;6.837;63.678;492.650;-1075.843;-363.140;45.542;0.000;250.466;-23314.981;-4600.149;11026.254;-1032.260;16756.439;4187.399;997.779;214.823;-61.475;-152.917;0.431;-1164.7;56569.735;7428.174011;49141.561;-1163.082965;4950.031274;-1.614032318;49141.56146;2492.450108;46649.11135;4466;2265;104.603;45.398;77.285;66.151;4873.950;82.812;1265.042;386.83079;23.7699;23.55843
CG;68;5;low-RES-buildout;105.200;44.566;17.891;42.217;222.670;999.110;1104.860;6.837;58.789;480.135;-1075.843;-323.760;45.508;0.000;254.728;-23314.981;-4600.149;10842.886;-1034.513;16922.095;4187.399;983.278;125.753;-56.861;-68.789;0.102;-1184.7;56549.770;7410.593186;49139.177;-1180.66379;4942.300477;-3.998775747;49139.17671;2493.450108;46645.7266;348;133;105.200;44.566;998.824;1104.806;4910.291;801.284;1250.000;423.1714495;742.2415;8.51677
TD;69;6;low-RES-buildout;105.184;44.585;17.896;42.202;222.667;11290.045;8467.540;6.837;58.966;480.316;-1075.843;-323.760;45.435;0.000;254.662;-23314.981;-4600.149;10843.821;-1033.016;16924.051;4187.399;983.637;128.003;-56.994;-71.064;-0.054;-1180.3;56554.159;7410.806184;49143.353;-1180.450792;4942.349217;0.17723196;49143.35272;2494.450108;46648.90261;31;17;105.184;44.585;11289.777;8467.486;4900.458;7506.561;1250.000;413.3386325;7447.51804;8.51677
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
