2033;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_premium_2030;H2_FP_2030;H2_SP_2030;H2_RP_2030;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak
CfD;39;226;low-natural-gas-price;2.22;2.3;0.000;0.000;0.000;2.276;17.018;20.513;50.928;35.185;37.1;50.9;28.3;82.4;99.2;21.537;99.056;-4.465;0.000;0.000;866.670;328.045;-290.062;-27.408;5.110;154.5;301.2;-154.000;41.798;111.803;0;882.4;31303.206;1930.474269;29372.732;-268.194165;1238.512133;1150.548795;29372.73163;2490.450108;26882.28152;15152;13306
REF;41;1;Cheap-RES;2.68;2.6;0.000;0.000;0.000;2.754;16.569;25.959;9.111;65.506;35.6;52.8;3.6;85.3;100.8;1193.957;383.063;34.486;0.000;0.000;15666.073;4240.466;2458.315;2240.839;5825.345;144.5;281.6;4169.014;737.810;14357.442;19264;30431.0;30431.039;2208.861618;28222.177;10.1931841;1403.429351;;28222.17708;2490.450108;25731.72697;15344;16215
CT;42;22;Cheap-RES;2.45;2.6;0.000;0.000;0.000;2.582;22.788;24.999;8.733;61.632;43.4;61.4;3.6;84.4;100.8;-3.171;45.642;-0.199;0.000;0.000;159.367;147.818;-28.452;-6.285;29.698;143.4;279.6;-10.516;-12.212;22.799;0;302.1;30722.998;2449.251636;28273.746;250.583202;1576.980398;51.56309335;28273.74593;2490.450108;25783.29582;17324;13444
QT;43;76;Cheap-RES;2.65;2.6;0.000;0.000;0.000;2.729;20.837;26.382;8.808;62.107;38.3;52.2;3.6;84.8;100.7;-15.277;42.263;2.327;0.000;0.000;171.898;128.413;-55.377;-8.449;-11.604;143.3;279.3;-15.774;-10.437;26.440;0;224.9;30645.731;2433.293834;28212.437;234.6253998;1558.20733;-9.74560538;28212.43723;2490.450108;25721.98712;17948;16680
FP;44;176;Cheap-RES;2.65;2.6;0.000;0.000;0.000;2.728;22.901;24.290;8.807;62.142;41.0;49.5;3.6;84.8;100.7;-15.885;40.752;2.801;0.000;0.000;161.850;124.588;-51.545;-8.619;-13.191;143.2;279.2;-15.921;-10.444;27.000;1;213.1;30633.934;2415.599094;28218.335;216.9306604;1557.323217;-3.847900888;28218.33494;2490.450108;25727.88483;18421;16197
CfD;45;226;Cheap-RES;2.65;2.6;0.000;0.000;0.000;2.729;19.986;27.143;8.814;62.188;38.1;52.4;3.6;84.7;100.7;-15.641;42.503;2.320;0.000;0.000;172.307;130.627;-55.736;-8.505;-11.828;143.3;279.3;-15.981;-10.325;26.491;0;226.9;30647.717;2435.040717;28212.676;236.3722831;1555.244083;-9.506880562;28212.67596;2490.450108;25722.22585;17308;17103
REF;47;1;expensive-RES;2.65;2.5;0.000;0.000;0.000;2.724;16.373;25.414;8.891;65.223;37.8;52.6;3.5;84.2;96.5;1194.375;407.414;34.031;0.000;0.000;15604.853;4221.067;2479.313;2258.872;5827.637;;279.4;4138.436;745.021;14380.969;19264;30391.7;30391.743;2169.596182;28222.146;-29.07225229;1378.942639;;28222.1465;2490.450108;25731.69639;14283;15952
CT;48;22;expensive-RES;2.47;2.5;0.000;0.000;0.000;2.598;22.585;24.646;1.817;62.073;42.1;62.6;0.6;83.5;96.4;4.051;30.714;-1.179;0.000;0.000;183.486;148.738;-37.085;-9.972;26.602;143.0;278.7;-39.978;30.519;9.150;0;311.8;30732.621;2420.234047;28312.387;221.5656134;1558.610453;90.20398967;28312.38683;2490.450108;25821.93672;17694;12984
QT;49;76;expensive-RES;2.65;2.5;0.000;0.000;0.000;2.729;21.060;25.336;4.464;62.473;36.4;55.5;1.7;83.9;96.4;-6.699;21.768;0.766;0.000;0.000;194.069;106.031;-61.582;-8.098;-13.787;142.6;277.9;-33.359;16.762;16.526;0;216.6;30637.484;2386.28424;28251.199;187.615806;1531.052675;29.0164466;28251.19928;2490.450108;25760.74918;19078;15063
FP;50;176;expensive-RES;2.65;2.5;0.000;0.000;0.000;2.728;22.089;24.260;4.512;62.517;38.8;53.1;1.7;83.9;96.4;-7.471;20.886;2.919;0.000;0.000;190.726;105.224;-60.637;-8.142;-15.127;142.6;277.9;-33.347;16.692;16.651;0;212.0;30632.895;2375.648771;28257.246;176.9803375;1529.5247;35.06340814;28257.24624;2490.450108;25766.79614;18797;15063
CfD;51;226;expensive-RES;2.65;2.5;0.000;0.000;0.000;2.729;19.951;26.346;4.537;62.558;36.1;55.8;1.7;83.9;96.4;-7.069;22.870;1.091;0.000;0.000;191.296;113.186;-61.706;-7.967;-13.959;142.7;277.9;-32.767;15.978;16.350;0;220.9;30641.702;2389.574927;28252.127;190.9064936;1527.800724;29.94416267;28252.127;2490.450108;25761.67689;18225;15586
REF;53;1;cheap-import;2.59;2.5;0.000;0.000;0.000;2.663;11.754;25.961;0.635;87.704;26.2;54.7;0.1;85.4;99.9;1176.072;372.113;37.637;0.000;0.000;15442.332;4159.966;2511.540;2272.589;5817.756;;279.5;4250.372;633.333;14380.674;19264;30204.2;30204.183;1981.957078;28222.226;-216.7113555;1244.585855;;28222.22562;2490.450108;25731.77552;14802;15660
CT;54;22;cheap-import;2.31;2.5;0.000;0.000;0.000;2.427;19.153;25.148;0.619;81.688;37.0;67.7;0.1;84.5;99.8;7.879;48.056;-2.091;0.000;0.000;205.189;160.976;-57.213;10.911;35.745;142.2;276.9;-19.989;-6.718;26.743;0;355.6;30776.460;2286.074514;28490.385;87.40607998;1461.939671;268.2025851;28490.38542;2490.450108;25999.93531;17088;12250
QT;55;76;cheap-import;2.52;2.5;0.011;0.000;0.000;2.593;19.188;25.970;0.622;80.696;34.7;49.3;0.1;84.6;99.8;-16.603;57.282;1.832;0.000;0.000;294.190;170.935;-108.109;6.179;-12.038;141.7;276.2;-32.062;-4.463;36.630;0;351.2;30772.009;2332.911197;28439.098;134.2427628;1490.203669;216.9152875;28439.09812;2490.450108;25948.64802;18260;17376
FP;56;176;cheap-import;2.52;2.5;0.000;0.000;0.000;2.596;19.881;25.231;0.622;80.756;36.2;47.6;0.1;84.7;99.8;-17.548;56.020;2.068;0.000;0.000;293.888;167.706;-106.855;6.653;-11.937;141.7;276.2;-31.094;-4.624;35.889;0;349.5;30770.307;2324.928155;28445.379;126.2597214;1488.680792;223.1964369;28445.37927;2490.450108;25954.92917;18117;17496
CfD;57;226;cheap-import;2.52;2.5;0.000;0.000;0.000;2.596;18.804;26.363;0.622;80.738;33.5;50.4;0.1;84.6;99.8;-17.301;57.227;1.827;0.000;0.000;295.822;173.370;-108.784;6.144;-11.135;141.7;276.1;-31.640;-5.041;36.659;0;355.4;30776.269;2336.465473;28439.804;137.7970394;1490.528706;217.6207896;28439.80363;2490.450108;25949.35352;18538;17260
REF;59;1;expensive-import;2.72;2.7;0.000;0.000;0.000;2.828;21.438;25.092;32.126;27.281;41.4;50.9;19.7;84.8;98.7;1219.785;396.981;28.226;0.000;0.000;15839.433;4304.050;2412.661;2228.280;5828.576;;286.5;4052.797;907.407;14304.236;19264;30613.0;30613.000;2390.696116;28222.303;192.027682;1535.482219;;28222.30349;2490.450108;25731.85338;17094;16264
CT;60;22;expensive-import;2.60;2.7;0.000;0.000;0.000;2.735;26.673;23.993;26.912;26.285;48.6;56.3;18.2;83.8;98.6;6.688;31.347;-2.921;0.000;0.000;164.991;99.228;-29.098;-7.482;26.659;145.9;284.3;-32.272;8.594;23.504;0;254.3;30675.149;2577.097007;28098.052;378.4285735;1672.00369;-124.1312789;28098.05156;2490.450108;25607.60145;18120;14072
QT;61;76;expensive-import;2.72;2.7;0.005;0.000;0.000;2.824;23.491;25.791;28.482;26.894;42.9;49.5;19.2;84.3;98.6;-9.666;23.423;0.000;0.000;0.000;128.903;71.678;-36.538;-16.056;-13.065;146.2;284.8;-24.035;6.677;17.209;0;134.9;30555.774;2525.924585;28029.850;327.2561514;1626.298742;-192.3333342;28029.8495;2490.450108;25539.39939;18082;17205
FP;62;176;expensive-import;2.72;2.7;0.000;0.000;0.000;2.824;23.810;25.494;28.483;26.892;45.5;46.6;19.2;84.3;98.6;-14.911;23.242;0.000;0.000;0.000;139.178;69.346;-37.735;-15.748;-14.844;146.2;284.7;-25.127;7.012;17.974;0;140.2;30561.048;2524.676743;28036.371;326.008309;1627.055471;-185.8115667;28036.37127;2490.450108;25545.92116;17253;18043
CfD;63;226;expensive-import;2.72;2.7;0.000;0.000;0.000;2.824;22.343;26.883;28.572;26.897;41.9;50.4;19.2;84.3;98.6;-9.886;24.804;0.000;0.000;0.000;137.350;72.585;-37.793;-16.727;-13.668;146.2;284.9;-23.508;6.677;16.816;0;141.7;30562.598;2531.904794;28030.693;333.2363603;1624.476488;-191.4896204;28030.69322;2490.450108;25540.24311;17588;17586
