id;SCN_CT;SCN_QT;SCN_H_2000;SCN_H_3000;SCN_FP;SCN_HPA;SCN_CG;SCB_H_4000;CN_CAP_CT;CN_CAP_QT;CN_CAP_H_2000;CN_CAP_H_3000;CN_CAP_FP;CN_CAP_HPA;CN_CAP_CG;CN_CAP_H_4000;CN_PROD_CT;CN_PROD_QT;CN_PROD_H_2000;CN_PROD_H_3000;CN_PROD_FP;CN_PROD_HPA;CN_PROD_CG;CN_PROD_H_4000;ETS_COST_CT;ETS_COST_QT;ETS_COST_H_2000;ETS_COST_H_3000;ETS_COST_FP;ETS_COST_HPA;ETS_COST_CG;EST_COST_H_4000;NET_COST_CT;NET_COST_QT;NET_COST_H_2000;NET_COST_H_3000;NET_COST_FP;NET_COST_HPA;NET_COST_CG;NET_COST_H_4000;PS_COST_CT;PS_COST_QT;PS_COST_H_2000;PS_COST_H_3000;PS_COST_FP;PS_COST_HPA;PS_COST_CG;PS_COST_H_4000;H2S_COST_CT;H2S_COST_QT;H2S_COST_H_2000;H2S_COST_H_3000;H2S_COST_FP;H2S_COST_HPA;H2S_COST_CG;H2S_COST_H_4000;INDS_COST_CT;INDS_COST_QT;INDS_COST_H_2000;INDS_COST_H_3000;INDS_COST_FP;INDS_COST_HPA;INDS_COST_CG;INDS_COST_H_4000
23;24;74;124;274;174;224;324;374;114.973303;75.37166201;86.74317813;79.89462769;75.35883012;75.44252558;-1000;-1000;10.17269454;9.199956575;9.451823477;9.199987431;9.200327705;9.19571166;-1000;-1000;-1200.333549;-4753.694031;-2086.320173;-2763.299145;2445.113394;2998.076471;-1000;-1000;35099.11287;9508.054583;13892.17121;9816.928075;9467.415797;-8640.575983;-1000;-1000;4839.1;350.77;1790.11;1508.86;231.62;-30.62;-1000;-1000;6766.5;178.51;485.01;-229.27;255.02;348.54;-1000;-1000;-1000.6;-236.38;-573.12;-519.68;-639.3;-619.71;-1000;-1000
24;25;75;125;275;175;225;325;375;119.9645427;79.60095528;90.51401345;83.36530992;79.66642706;79.61044829;-1000;-1000;10.37647789;9.599737537;9.599971123;9.599641749;9.601601995;9.597201267;-1000;-1000;-1477.729213;-5858.971188;-2405.512884;-2956.760898;2072.420034;2031.24064;-1000;-1000;40644.68798;12642.0223;16785.9028;13635.23283;15691.01335;-3349.424105;-1000;-1000;5354.81;857.35;2410.03;2006.05;1010.6;874.11;-1000;-1000;8106.69;495.27;987.53;199.47;583.67;594.42;-1000;-1000;-1097.99;-372.31;-700.76;-697.37;-832.21;-790.47;-1000;-1000
25;26;76;126;276;176;226;326;376;124.9597021;81.7477558;94.28172628;86.83699046;81.69717142;81.36460619;-1000;-1000;10.33242941;9.999539932;9.99957703;9.999411023;10.00141576;9.997825128;-1000;-1000;-1481.169558;-6311.560632;-3226.340626;-4308.396867;1576.984485;1216.584629;-1000;-1000;45691.27424;17705.87723;22237.76022;20196.47845;28290.92514;5629.22017;-1000;-1000;6109.28;1859.88;3625.92;3652.77;1659.29;1362.27;-1000;-1000;9450.4;782.11;1526.37;305.7;866.49;856.6;-1000;-1000;-1132.25;-570.6;-916.48;-1006.64;-1056.88;-1063.76;-1000;-1000
26;27;77;127;277;177;227;327;377;129.9687384;85.75744478;98.05254277;90.3111937;85.73171051;85.75592876;-1000;-1000;10.36375224;10.39996305;10.39951211;10.39947079;10.40109126;10.39849625;-1000;-1000;-1504.429686;-7349.73426;-5505.878996;-5545.282502;681.9816953;479.6066721;-1000;-1000;50844.69315;22181.59066;29638.69048;24410.61757;37980.9823;13333.15411;-1000;-1000;6187.08;2969.17;4184.45;4405.65;3189.97;3070.36;-1000;-1000;10682.02;1265.25;2119.09;868.17;1332.81;1342.06;-1000;-1000;-1159.45;-842.63;-1263.45;-1205.96;-1334.29;-1324.41;-1000;-1000
27;28;78;128;278;178;228;328;378;134.9632624;88.64593674;101.8276553;93.78447455;88.5891491;88.6108582;-1000;-1000;10.45329228;10.79998231;10.79990283;10.79942434;10.80002683;10.79995174;-1000;-1000;-1845.447679;-8674.846128;-6513.516747;-7177.078159;-1144.995957;-795.0822047;-1000;-1000;56360.84015;28740.13054;34639.15998;31306.52734;52007.32929;24030.94798;-1000;-1000;7050.14;3664.47;4617.29;5106.66;4608.45;3548.54;-1000;-1000;12059.64;1709.04;2940.31;1260.93;1758.1;1756.6;-1000;-1000;-1236.16;-1179.35;-1527.41;-1583.49;-1664.87;-1673.43;-1000;-1000
28;29;79;129;279;179;229;329;379;139.9587346;91.82192462;105.585633;97.2614282;91.73861058;91.78787043;-1000;-1000;10.51496769;11.19999355;11.19847622;11.19980082;11.20005863;11.1999277;-1000;-1000;-1710.38556;-9669.146896;-8033.609243;-8209.963119;-2270.710684;-2444.291559;-1000;-1000;61244.784;35108.23531;41099.24053;36557.74007;66370.1664;35698.46693;-1000;-1000;8431.4;4882;5967.96;5734.1;5295.68;5251.96;-1000;-1000;13326.08;2193.79;3727.77;1844.96;2263.46;2267.03;-1000;-1000;-1236.95;-1486.98;-1828.94;-1899.79;-1983.1;-1979.37;-1000;-1000
29;30;80;130;280;180;230;330;380;144.9645289;94.76827831;109.3912806;100.7584829;94.77423985;94.70727702;-1000;-1000;10.54372053;11.59998621;11.60210552;11.59998157;11.60023192;11.59934681;-1000;-1000;-1676.655678;-10589.44436;-9397.059426;-9840.008947;-3451.530388;-3262.983339;-1000;-1000;66023.31606;40722.08596;46892.76165;44759.07045;80102.66787;45467.13271;-1000;-1000;9247.64;6393.16;8216.58;7667.5;6769.85;6358.67;-1000;-1000;14665.03;2587.05;4141.96;1993.79;2693.9;2680.59;-1000;-1000;-1230.54;-1759.43;-2013;-2111.43;-2269.05;-2268.6;-1000;-1000
30;31;81;131;281;181;231;331;381;149.9712725;99.03730255;113.1299692;104.2322757;99.01845679;99.03812812;-1000;-1000;10.62100292;11.9997353;11.9986331;11.99980803;11.99979614;11.99975562;-1000;-1000;-2379.265252;-9262.468153;-8576.283093;-10703.4469;-2422.297062;-2610.866394;-1000;-1000;71908.34904;53369.18369;53868.94038;50535.13026;112408.5504;69925.2565;-1000;-1000;11101.73;7786.2;10066.53;11226.66;7613.5;7692.88;-1000;-1000;15999.03;2677;4568.89;2237.49;2790.54;2758.38;-1000;-1000;-1358.4;-1719.01;-2027.29;-2404.03;-2262.95;-2251.62;-1000;-1000
31;32;82;132;282;182;232;332;382;154.9686756;103.3661707;116.906134;107.7132323;103.217744;103.241729;-1000;-1000;10.66287997;12.39996499;12.39913542;12.398646;12.40013125;12.39994906;-1000;-1000;-1919.239048;-9763.76882;-8684.64741;-10367.82632;-3175.758981;-3272.085747;-1000;-1000;76328.79445;61532.7092;62083.32257;60113.25035;134281.3742;85161.89385;-1000;-1000;10800.86;9945.43;11966.7;13436.59;10029.38;9913.45;-1000;-1000;17361.26;3020.98;5049.23;2578.38;3071.95;3073.97;-1000;-1000;-1276.52;-1920.67;-2148.01;-2518.83;-2501.05;-2483.03;-1000;-1000
32;33;83;133;283;183;233;333;383;159.9693171;107.6240864;120.6846646;111.1997915;107.4998517;107.4366919;-1000;-1000;10.69954559;12.79998383;12.79988867;12.79828621;12.80027253;12.79983143;-1000;-1000;-2520.739891;-10651.1347;-9977.619958;-9194.338686;-4768.945677;-4782.41642;-1000;-1000;81436.4002;70972.43802;70880.33011;70467.02086;155717.5262;101926.706;-1000;-1000;12062.82;11802.94;13897.31;14375.78;13766.06;13553.35;-1000;-1000;18694.45;3573.2;5522.55;3351.21;3597.5;3606.84;-1000;-1000;-1194.88;-2208.09;-2324.84;-2525.99;-2781.74;-2782.48;-1000;-1000
33;34;84;134;284;184;234;334;384;164.9711173;112.4009022;124.4318288;114.6856415;112.4439811;112.3821956;-1000;-1000;10.73525682;13.20000004;13.19731517;13.19764021;13.19989328;13.19978713;-1000;-1000;-2145.429531;-11380.14124;-9929.510292;-10805.39005;-4851.659827;-4937.712031;-1000;-1000;86326.32957;84739.01531;84096.99852;82143.06389;186823.3305;126033.9184;-1000;-1000;13271.2;14685.13;15603.11;17325.04;16817.69;16881.73;-1000;-1000;20114.59;4102.17;6490.25;4101.32;4113.3;4134.55;-1000;-1000;-1125.2;-2392.29;-2412.5;-2955.88;-2923.44;-2932.05;-1000;-1000
