id;SCN_CT;SCN_QT;SCN_H_2000;SCN_H_3000;SCN_FP;SCN_HPA;SCN_CG;SCB_H_4000;CN_CAP_CT;CN_CAP_QT;CN_CAP_H_2000;CN_CAP_H_3000;CN_CAP_FP;CN_CAP_HPA;CN_CAP_CG;CN_CAP_H_4000;CN_PROD_CT;CN_PROD_QT;CN_PROD_H_2000;CN_PROD_H_3000;CN_PROD_FP;CN_PROD_HPA;CN_PROD_CG;CN_PROD_H_4000;H2_COST_CT;H2_COST_QT;H2_COST_H_2000;H2_COST_H_3000;H2_COST_FP;H2_COST_HPA;H2_COST_CG;H2_COST_H_4000;RES_COST_CT;RES_COST_QT;RES_COST_H_2000;RES_COST_H_3000;RES_COST_FP;RES_COST_HPA;RES_COST_CG;RES_COST_H_4000;TOT_COST_CT;TOT_COST_QT;TOT_COST_H_2000;TOT_COST_H_3000;TOT_COST_FP;TOT_COST_HPA;TOT_COST_CG;TOT_COST_H_4000;ETS_COST_CT;ETS_COST_QT;ETS_COST_H_2000;ETS_COST_H_3000;ETS_COST_FP;ETS_COST_HPA;ETS_COST_CG;EST_COST_H_4000;NET_COST_CT;NET_COST_QT;NET_COST_H_2000;NET_COST_H_3000;NET_COST_FP;NET_COST_HPA;NET_COST_CG;NET_COST_H_4000;PS_COST_CT;PS_COST_QT;PS_COST_H_2000;PS_COST_H_3000;PS_COST_FP;PS_COST_HPA;PS_COST_CG;PS_COST_H_4000;H2S_COST_CT;H2S_COST_QT;H2S_COST_H_2000;H2S_COST_H_3000;H2S_COST_FP;H2S_COST_HPA;H2S_COST_CG;H2S_COST_H_4000;INDS_COST_CT;INDS_COST_QT;INDS_COST_H_2000;INDS_COST_H_3000;INDS_COST_FP;INDS_COST_HPA;INDS_COST_CG;INDS_COST_H_4000
24;25;75;125;275;175;225;325;375;46.53495999;6.171372545;17.08443071;9.935727193;6.23684433;6.180865557;;;1.719406797;0.94266644;0.942900026;0.942570652;0.944530898;0.940130171;;;39103.1552;6943.797373;14397.46187;10647.33794;9037.780737;-6516.189391;;;63.80355764;-160.7462612;-17.07195778;31.13398714;-76.38528451;161.3572836;;;12363.52;980.31;2696.82;1508.15;762.06;678.06;;;-1477.729213;-5858.971188;-2405.512884;-2956.760898;2072.420034;2031.24064;;;40644.68798;12642.0223;16785.9028;13635.23283;6888.975419;-8386.072747;;;100605.64;96108.18;97660.86;97256.88;96261.43;96124.94;;;1178.32;-6433.1;-5940.84;-6728.9;-6344.7;-6333.95;;;-15478.86;-14753.18;-15081.63;-15078.24;-15213.08;-15171.34;;
25;26;76;126;276;176;226;326;376;51.53011938;8.318173068;20.85214355;13.40740773;8.267588692;7.935023458;;11.22509425;1.67535831;1.342468835;1.342505933;1.342339926;1.34434466;1.340754031;;1.342861928;44067.00076;11702.56877;18883.04746;16128.07087;15203.71785;-1246.787859;;;143.1039153;-308.2521703;128.3721381;-239.9892804;-142.1909483;-319.9203857;;-208.7026216;14427.44;2071.41;4235.82;2951.82;1468.9;1155.12;;;-1481.169558;-6311.560632;-3226.340626;-4308.396867;1576.984485;1216.584629;;-4554.407278;45691.27424;17705.87723;22237.76022;20196.47845;13484.54242;-2783.292874;;;101360.11;97110.71;98876.75;98903.6;96910.12;96613.1;;98763.8;2522.03;-6146.26;-5402;-6622.67;-6061.88;-6071.77;;-6609.76;-15513.12;-14951.47;-15297.35;-15387.51;-15437.75;-15444.63;;-15386.49
26;27;77;127;277;177;227;327;377;56.5391557;12.32786205;24.62296004;16.88161097;12.30212778;12.32634603;;;1.706681143;1.742891954;1.742441015;1.742399692;1.744020164;1.741425154;;;49629.90083;15243.76018;24417.1867;19032.13422;19597.15431;2261.301829;;;-289.6373615;-411.9037795;-284.3752257;-166.7991522;-17.77370021;-152.8414772;;;15709.65;3391.81;5040.1;4067.87;3188.5;3088.01;;;-1504.429686;-7349.73426;-5505.878996;-5545.282502;681.9816953;479.6066721;;;50844.69315;22181.59066;29638.69048;24410.61757;18897.39891;1628.85368;;;101437.91;98220;99435.28;99656.48;98440.8;98321.19;;;3753.65;-5663.12;-4809.28;-6060.2;-5595.56;-5586.31;;;-15540.32;-15223.5;-15644.32;-15586.83;-15715.16;-15705.28;;
27;28;78;128;278;178;228;328;378;61.53367969;15.21635401;28.39807252;20.35489181;15.15956636;15.18127547;;;1.796221185;2.142911213;2.142831733;2.142353245;2.142955735;2.142880644;;;54579.22145;20321.31551;28216.41492;24204.59293;25952.14294;7720.61196;;;-63.82897854;-256.0310993;-90.77169663;-75.14374232;-356.5931503;152.246548;;;17873.63;4194.18;6030.19;4784.1;4701.69;3631.72;;;-1845.447679;-8674.846128;-6513.516747;-7177.078159;-1144.995957;-795.0822047;;;56360.84015;28740.13054;34639.15998;31306.52734;26740.54574;8667.940713;;;102300.97;98915.3;99868.12;100357.49;99859.28;98799.37;;;5131.27;-5219.33;-3988.06;-5667.44;-5170.27;-5171.77;;;-15617.03;-15560.22;-15908.28;-15964.36;-16045.74;-16054.3;;
28;29;79;129;279;179;229;329;379;66.52915182;18.39234188;32.15605024;23.83184547;18.30902784;18.3582877;;;1.857896594;2.542922449;2.541405127;2.542729727;2.542987528;2.542856603;;;59679.12737;25700.71988;33390.8196;28595.84516;32756.93616;13060.11864;;;-144.7289225;-261.631464;-325.1883211;-248.0682084;-549.5300329;-569.0854777;;;20520.51;5588.8;7866.79;5679.26;5576.03;5539.62;;;-1710.38556;-9669.146896;-8033.609243;-8209.963119;-2270.710684;-2444.291559;;;61244.784;35108.23531;41099.24053;36557.74007;34478.11681;14935.32473;;;103682.23;100132.83;101218.79;100984.93;100546.51;100502.79;;;6397.71;-4734.58;-3200.6;-5083.41;-4664.91;-4661.34;;;-15617.82;-15867.85;-16209.81;-16280.66;-16363.97;-16360.24;;
29;30;80;130;280;180;230;330;380;71.53494615;21.33869558;35.96169792;27.32890013;21.34465712;21.27769429;;;1.886649434;2.942915112;2.945034427;2.942910468;2.943160822;2.942275713;;;64724.69221;30527.79882;38194.36228;35201.50182;39023.35195;18904.66914;;;-378.0318234;-395.1572101;-698.6600558;-282.4403215;-366.3633301;-436.2689662;;;22682.14;7220.78;10345.53;7549.86;7194.7;6770.65;;;-1676.655678;-10589.44436;-9397.059426;-9840.008947;-3451.530388;-3262.983339;;;66023.31606;40722.08596;46892.76165;44759.07045;42108.51901;21731.38352;;;104498.47;101643.99;103467.41;102918.33;102020.68;101609.5;;;7736.66;-4341.32;-2786.41;-4934.58;-4234.47;-4247.78;;;-15611.41;-16140.3;-16393.87;-16492.3;-16649.92;-16649.47;;
30;31;81;131;281;181;231;331;381;76.54168977;25.60771982;39.70038646;30.80269294;25.58887406;25.60854539;;;1.963931823;3.342664202;3.341562;3.342736928;3.342725044;3.342684524;;;70061.31043;44657.15156;46015.84152;40629.67147;56015.45608;33082.42676;;;-532.2266409;-550.436026;-723.1842265;-797.9881052;-563.2170856;-431.0305264;;;25742.36;8744.19;12608.12;11060.13;8141.09;8199.64;;;-2379.265252;-9262.468153;-8576.283093;-10703.4469;-2422.297062;-2610.866394;;;71908.34904;53369.18369;53868.94038;50535.13026;57874.53605;35262.26262;;;106352.56;103037.03;105317.36;106477.49;102864.33;102943.71;;;9070.66;-4251.37;-2359.48;-4690.88;-4137.83;-4169.99;;;-15739.27;-16099.88;-16408.16;-16784.9;-16643.82;-16632.49;;
31;32;82;132;282;182;232;332;382;81.53909283;29.93658801;43.47655122;34.28364955;29.78816124;29.81214626;;;2.005808872;3.742893891;3.742064322;3.7415749;3.743060157;3.742877964;;;74689.15794;52463.15306;53911.05418;50407.29627;66715.43509;40147.68569;;;-279.602536;-694.2126799;-512.3790242;-661.8722426;-564.4613236;-481.2977168;;;26885.59;11045.75;14867.92;13496.15;10600.27;10504.37;;;-1919.239048;-9763.76882;-8684.64741;-10367.82632;-3175.758981;-3272.085747;;;76328.79445;61532.7092;62083.32257;60113.25035;69326.73274;42938.47372;;;106051.69;105196.26;107217.53;108687.42;105280.21;105164.28;;;10432.89;-3907.39;-1879.14;-4349.99;-3856.42;-3854.4;;;-15657.39;-16301.54;-16528.88;-16899.7;-16881.92;-16863.9;;
32;33;83;133;283;183;233;333;383;86.53973438;34.19450369;47.25508185;37.77020873;34.07026893;34.00710917;;;2.042474497;4.142912732;4.142817571;4.141215112;4.143201435;4.142760333;;;79215.36178;60400.02926;61466.74182;61900.78702;76691.8634;50464.96086;;;-299.7014676;-78.72594454;-564.0316733;-628.1048447;-412.6692319;-291.7118959;;;29562.4;13168.05;17095.04;15201.01;14581.83;14377.72;;;-2520.739891;-10651.1347;-9977.619958;-9194.338686;-4768.945677;-4782.41642;;;81436.4002;70972.43802;70880.33011;70467.02086;81048.13985;54955.66538;;;107313.65;107053.77;109148.14;109626.61;109016.89;108804.18;;;11766.08;-3355.17;-1405.82;-3577.16;-3330.87;-3321.53;;;-15575.75;-16588.96;-16705.71;-16906.86;-17162.61;-17163.35;;
33;34;84;134;284;184;234;334;384;91.54153457;38.97131951;51.00224608;41.2560588;39.01439838;38.95261287;;;2.078185723;4.542928938;4.540244071;4.540569112;4.542822179;4.542716031;;;84250.27906;73555.14813;74567.39881;72059.59984;92522.4803;62647.85111;;;-69.3790192;-196.2740638;-399.9105783;-721.9259942;-627.9720152;-666.224168;;;32260.59;16395.01;19680.85;18470.49;18007.55;18084.25;;;-2145.429531;-11380.14124;-9929.510292;-10805.39005;-4851.659827;-4937.712031;;;86326.32957;84739.01531;84096.99852;82143.06389;96746.16811;66919.33897;;;108522.03;109935.96;110853.94;112575.87;112068.52;112132.56;;;13186.22;-2826.2;-438.12;-2827.05;-2815.07;-2793.82;;;-15506.07;-16773.16;-16793.37;-17336.75;-17304.31;-17312.92;;
