Hour;EOM_price;EOM_price_CT;EOM_price_QT;EOM_price_FP;EOM_price_CfD;H2_price;H2_price_CfD;H2_price_CT;H2_price_QT;H2_price_FP
58;137.3089324;136.8271145;136.5959898;136.767169;136.7587051;88.13932688;87.91610098;87.87467764;87.78297525;87.90438914
59;137.3089272;136.8271144;136.5959887;136.7671575;136.7587012;88.13932688;87.91610098;87.87467764;87.78297525;87.90438914
60;137.3089256;136.8271143;136.5959866;136.7671565;136.7587007;88.13932688;87.91610098;87.87467764;87.78297525;87.90438914
61;137.3089254;136.8271128;136.5959812;136.7671442;136.7587004;88.13932688;87.91610098;87.87467764;87.78297525;87.90438914
62;137.3089253;136.8271127;136.5959799;136.7671438;136.7586995;88.13932688;87.91610098;87.87467764;87.78297525;87.90438914
63;137.3089252;136.8271113;136.5959791;136.7671403;136.7586992;88.13932688;87.91610098;87.87467764;87.78297525;87.90438914
64;137.3089249;136.8271111;136.595979;136.7671286;136.7586988;88.13932688;87.91610098;87.87467764;87.78297525;87.90438914
65;137.3089248;136.8271106;136.5959785;136.767124;136.7586963;88.13932688;87.91610098;87.87467764;87.78297525;87.90438914
66;137.3089246;136.8271105;136.5959775;136.7671075;136.7586917;88.13932688;87.91610098;87.87467764;87.78297525;87.90438914
67;137.3089241;136.8271104;136.5959744;136.7671071;136.7586898;88.13932688;87.91610098;87.87467764;87.78297525;87.90438914
68;137.3089236;136.8271087;136.5959704;136.7671016;136.7586896;88.13932688;87.91610098;87.87467764;87.78297525;87.90438914
69;137.3089235;136.8271085;136.5959612;136.7670897;136.7586872;88.13932688;87.91610098;87.87467764;87.78297525;87.90438914
70;137.3089226;136.8271081;136.5959533;136.7670867;136.7586839;88.13932688;87.91610098;87.87467764;87.78297525;87.90438914
71;137.3089217;136.8271078;136.5959518;136.7670796;136.7586803;88.13932688;87.91610098;87.87467764;87.78297525;87.90438914
72;137.3089204;136.8271072;136.5959352;136.7670774;136.7586798;88.13932688;87.91610098;87.87467764;87.78297525;87.90438914
73;137.3089198;136.8271049;136.595928;136.7670734;136.7586797;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
74;137.3089192;136.8271047;136.5959213;136.7670718;136.7586775;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
75;137.308919;136.8271043;136.5959182;136.7670671;136.7586766;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
76;137.3089182;136.8271039;136.5959181;136.7670649;136.7586712;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
77;137.3089181;136.8271012;136.5959176;136.7670625;136.7586691;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
78;137.3089175;136.8271011;136.5959129;136.7670587;136.7586675;88.13932579;87.91571168;87.87450457;87.78297484;87.90426353
