2030;id;scenario;sensetivity;H2_price_2030;H2_price_2040;H2_premium_2030;H2_FP_2030;H2_SP_2030;H2_RP_2030;PtH_PROD_base_2030;PtH_PROD_peak_2030;SMRCCS_PROD_2030;IMPORT_2030;PtH_CAP_base_2030;PtH_CAP_peak_2030;SMRCCS_CAP_2030;EOM_price_2030;EOM_price_2040;WIND_CAP_2030;SOLAR_CAP_2030;GAS_CAP_2030;COAL_CAP_2030;NUCL_CAP_2030;WIND_PROD_2030;SOLAR_PROD_2030;GAS_PROD_2030;COAL_PROD_2030;NUCL_PROD_2030;ETS_price_2030;ETS_price_2040;PS_emmisions;H2S_emissions;IND_emissions;cumulative_emissions;DIFF_PROD;TOT_PROD;H2_PROD;D_CUM;Increase_elek;H2_PROD_Twh;ERROR;residential_demand;Demand_2030;Difference;PtH_base_H;PtH_peak;;;;
HT_3800;24;276;expensive-PtH;2.13;2.6;1.762;0.000;0.000;2.280;0.2;9.8;1.3;8.6;1.9;84.9;8.9;82.0;104.3;73.7;67.3;-0.4;0.0;0.0;149.7;61.2;-39.9;-3.7;15.6;157.2;407.6;-43.607;10.926;32.560;0;182.8;3122.271;548.2786305;2573.992;99.30674019;329.9976298;83.54199083;2573.992099;2490.450108;83.54199083;3800;3800;;;;
HT_4000;25;376;expensive-PtH;2.08;2.6;1.750;0.000;0.000;2.249;0.2;9.8;1.4;8.5;1.5;81.0;8.9;82.4;104.3;81.0;70.2;-0.2;0.0;0.0;158.8;62.9;-43.2;-3.8;8.1;157.1;407.6;-44.243;11.848;32.272;0;182.9;3122.307;548.5952506;2573.712;99.62336028;329.9909307;83.26164189;2573.71175;2490.450108;83.26164189;4000;4000;;;;
QT;26;76;expensive-PtH;2.06;2.6;1.720;0.000;0.000;2.242;1.0;9.0;1.4;8.5;5.7;74.5;8.8;82.4;104.3;84.9;67.6;-0.2;0.0;0.0;151.2;69.4;-44.5;-3.9;2.6;156.8;406.8;-43.140;11.988;30.988;0;174.8;3114.195;542.2271999;2571.968;93.2553096;329.9532903;81.51739308;2571.967501;2490.450108;81.51739308;5647;3993;;;;
REF;29;1;high-natural-gas-price;2.56;2.4;0.000;0.000;0.000;2.672;3.1;6.2;0.0;10.6;20.0;55.3;0.2;85.9;106.1;1120.437;451.213;96.356;23.072;47.088;1994.761;498.162;89.018;61.941;337.715;149.2;386.9;3416.577;368.997;15479.803;19265;2981.6;2981.597;491.0922249;2490.505;42.12033459;309.450229;;2490.505165;2490.450108;0.055057401;5176;3722;;;;
CT;30;22;high-natural-gas-price;2.30;2.4;0.000;0.000;0.000;2.432;5.0;6.0;0.0;9.0;34.0;70.9;0.2;85.1;106.0;9.0;40.9;0.0;0.0;0.0;32.6;34.6;-5.4;-2.7;19.0;149.1;386.7;-10.844;0.008;10.828;0;78.0;3017.426;564.3061877;2453.120;115.3342974;361.9925119;-37.32981611;2453.120292;2490.450108;-37.32981611;4818;2793;;;;
HT_3500;31;126;high-natural-gas-price;2.34;2.4;0.725;0.000;0.000;2.471;3.4;7.2;0.0;9.3;26.3;68.0;0.2;85.2;106.1;18.9;29.5;0.2;0.0;0.0;56.7;26.0;-7.6;-3.8;14.0;149.0;386.6;-10.875;0.020;10.921;0;85.3;3024.734;558.6197969;2466.115;109.6479066;351.3637443;-24.33542106;2466.114687;2490.450108;-24.33542106;4313;3500;;;;
HT_3800;32;276;high-natural-gas-price;2.40;2.4;0.547;0.000;0.000;2.529;2.5;7.7;0.0;9.8;20.1;66.7;0.2;85.3;106.1;15.1;21.3;0.0;0.0;0.0;47.3;14.6;-6.0;-2.9;9.7;149.1;386.7;-9.084;-0.007;9.156;0;62.7;3002.080;540.5317818;2461.549;91.55989145;336.101122;-28.90150336;2461.548605;2490.450108;-28.90150336;4104;3800;;;;
HT_4000;33;376;high-natural-gas-price;2.41;2.4;0.468;0.000;0.000;2.544;2.3;7.7;0.0;10.0;19.1;63.9;0.2;85.5;106.1;19.2;14.8;0.0;0.0;0.0;48.7;6.2;-6.7;-3.3;4.7;149.1;386.7;-8.231;-0.029;8.359;0;49.6;2989.039;531.8220682;2457.217;82.85017783;329.9949577;-33.2334553;2457.216653;2490.450108;-33.2334553;4000;3972;;;;
QT;34;76;high-natural-gas-price;2.37;2.4;0.508;0.000;0.000;2.518;4.0;6.0;0.0;10.0;25.1;54.6;0.2;85.8;106.1;25.0;6.6;0.0;0.0;0.0;39.7;2.2;-7.8;-3.9;-2.3;149.0;386.6;-6.083;0.040;6.132;0;27.8;2967.271;518.8024134;2448.468;69.83052306;329.9992514;-41.9819146;2448.468193;2490.450108;-41.9819146;5210;3646;;;;
REF;35;1;low-natural-gas-price;2.14;2.2;0.000;0.000;0.000;2.178;0.4;4.8;8.1;6.7;2.8;45.1;34.5;85.3;103.0;996.018;375.414;111.765;23.072;47.088;1784.993;415.049;224.882;2.705;345.812;158.9;412.3;3752.733;587.424;14925.836;19266;2773.4;2773.441;282.9257494;2490.515;-166.0461409;171.6381258;;2490.514802;2490.450108;0.064693796;4739;3516;;;;
