scen_number;sensitivity;n_iter;CCGT_new;WindOffshore;SPP_coal;WindOnshore;Nuclear;Solar;OCGT;SMR;SMRCCS;Alkaline_base;Alkaline_peak_supported;Alkaline_base_supported;Alkaline_peak;Ind;Import
6;expensive-peak-PtH;5407;7010.79;11106.79;59534.93;4274053.42;78596.88;567399.68;52527.00;0.00;3860.76;26329.36;27501.04;23133.91;7650.46;864132.79;9169.23
9;low-RES-buildout;4915;8766.08;44955.48;53238.72;4352287.96;84120.80;541918.57;48358.54;0.00;5959.39;4655.95;21789.12;21361.13;12835.41;981292.22;11118.21
5;expensive-peak-PtH;4899;6318.53;11106.79;59589.48;4282130.82;78492.60;567132.53;53031.79;0.00;3860.76;26689.13;26807.35;23141.09;7689.28;863814.98;9149.33
6;no-buildout-limits;5545;6388.23;11106.79;60166.72;4234474.30;82075.43;598226.12;54328.99;0.00;7224.00;4471.77;20264.29;20584.56;35337.98;852246.16;8453.31
3;low-RES-buildout;5017;8003.63;44955.48;53239.24;4353998.96;84091.52;541819.45;48593.45;0.00;5959.39;4761.37;21750.57;20964.74;13197.97;980812.92;11090.67
5;high-electrolysis-buildout;4643;6892.28;11106.79;59970.66;4271267.06;78025.58;582691.89;51964.38;0.00;3860.76;11045.13;20513.13;20615.19;13965.49;867702.54;9346.85
8;low-RES-buildout;4533;8732.88;44955.48;53248.45;4354114.21;84372.74;541583.54;47736.16;0.02;5959.39;3941.42;20154.42;26584.43;12129.09;981860.88;11118.91
5;low-RES-buildout;4475;7788.85;44955.48;53261.58;4356185.46;84164.22;540268.21;48053.49;0.00;5959.39;4696.47;22203.19;21163.89;12404.03;981184.74;11158.61
10;low-RES-buildout;4237;10185.13;69452.86;51520.81;4348476.91;84757.80;540524.67;46910.85;0.00;5026.43;5799.97;24536.64;20878.90;11219.24;996511.81;10975.41
10;low-natural-gas-price;4496;0.00;11106.79;24834.25;4243847.11;80706.77;562331.16;57502.43;0.00;20843.41;3744.56;22777.01;21201.95;13851.68;887999.04;4425.24
4;low-RES-buildout;4687;7779.00;44955.48;53236.22;4361025.60;83813.24;541029.43;48193.99;0.00;5959.39;4752.46;22269.78;21020.47;12512.90;980388.47;11091.98
5;expensive-import;4515;1731.72;11106.79;58642.21;4307121.63;78950.55;632944.30;53865.76;0.00;9051.42;16105.73;18988.14;19807.42;23109.48;873355.95;6968.05
5;ref;4487;3910.45;11106.79;59426.25;4262111.08;79575.05;590775.30;53807.95;0.00;2408.00;15039.88;19911.24;20370.52;18319.13;863368.53;9087.97
2;expensive-base-PtH;4382;6564.17;11106.79;59266.33;4249782.68;79242.20;599897.76;52969.49;0.00;5192.42;8897.45;1681.10;0.00;48348.13;866391.85;9762.13
10;expensive-peak-PtH;4472;7422.18;11106.79;59306.62;4287131.72;77847.72;571138.55;52515.45;0.01;2408.00;27227.56;26472.39;25582.47;7767.22;863729.21;8991.08
10;expensive-import;4066;4314.95;11106.79;58504.29;4300983.53;78465.45;638907.71;52935.23;0.00;7221.54;16235.72;20987.06;21282.68;22569.64;873191.44;6929.52
5;no-buildout-limits;4623;5472.89;11106.79;60252.15;4234135.31;82146.65;599108.51;54968.15;0.00;7224.00;4275.11;20239.40;20612.30;35787.18;852186.70;8478.57
2;low-natural-gas-price;3892;1867.03;11106.79;24755.99;4232673.39;81511.52;537658.70;55115.21;0.00;28895.32;17822.43;565.02;0.00;31788.95;897062.42;4550.08
2;low-RES-buildout;3865;10290.95;44955.48;53244.58;4361204.56;85046.27;536239.71;46837.07;0.00;5959.39;16411.96;3462.19;7888.05;28404.54;983566.95;11434.30
2;extreme-high-RES-buildout;3767;3389.16;0.00;46473.18;4208366.77;72257.00;606420.03;58902.69;0.00;2524.55;32372.39;695.26;2096.28;30635.40;826523.59;9037.06
10;no-buildout-limits;3842;7536.27;11106.79;59964.47;4232953.43;81354.24;602891.99;53542.74;0.00;7224.00;5551.09;20972.78;21686.13;34685.80;852046.05;8243.52
7;high-electrolysis-buildout;7192;7224.67;11106.79;59977.76;4263714.84;78568.02;586694.04;52066.75;0.00;3860.76;10655.77;25460.97;24641.16;11477.05;868758.94;9268.13
7;low-natural-gas-price;4865;0.00;11106.79;24792.28;4236343.02;81718.41;560645.38;57615.88;0.00;21709.60;3220.49;26245.37;31094.44;9067.86;890489.28;4470.24
4;high-electrolysis-buildout;4795;6609.29;11106.79;59920.09;4270529.17;77815.49;584960.18;52592.58;0.00;3860.76;11069.69;20184.75;20218.22;14678.20;867102.16;9240.32
3;low-natural-gas-price;4541;0.01;11106.79;24855.46;4238527.30;81167.89;561809.96;56780.58;0.00;21816.18;3669.13;22363.19;21713.71;13396.28;886252.45;4408.23
8;low-natural-gas-price;4382;0.00;11106.79;24841.61;4236837.60;81261.00;561804.82;57341.28;0.03;21657.89;3334.61;20031.92;26425.33;13159.61;886869.37;4422.60
4;expensive-import;5316;3623.44;11106.79;58646.22;4307321.31;79110.40;633620.50;53042.46;0.00;9051.42;16001.58;18962.81;19516.59;23494.18;873016.54;6919.71
9;low-natural-gas-price;4558;0.00;11106.79;24851.81;4238425.15;81164.75;561834.71;56733.75;0.03;21814.06;3668.66;22359.52;21712.02;13387.04;886256.32;4408.07
9;high-electrolysis-buildout;4374;6490.86;11106.79;59947.63;4270919.17;77993.08;583315.45;52473.04;0.00;3860.76;11035.71;19894.16;21172.38;14186.48;867406.93;9291.32
3;high-electrolysis-buildout;4432;6400.20;11106.79;59901.80;4271071.29;77901.89;584004.30;52518.16;0.00;3860.76;11104.16;20192.59;20347.21;14347.85;867233.34;9279.33
8;high-electrolysis-buildout;4317;7626.39;11106.79;59912.45;4267216.59;78228.17;583667.17;52005.69;0.00;3860.76;10682.97;19586.52;25322.71;13095.52;868066.44;9306.86
4;low-natural-gas-price;4358;0.00;11106.79;24873.42;4239895.62;81045.72;561714.99;57303.13;0.02;21697.21;3702.28;22117.45;21532.32;13554.82;886169.20;4411.75
3;expensive-import;4509;2638.63;11106.79;58729.86;4308807.10;79117.06;632804.43;53707.86;0.00;9051.42;16083.02;18746.53;19592.82;23437.54;873118.68;6946.79
7;expensive-peak-PtH;4324;6614.40;11106.79;59402.59;4267152.20;79567.37;576481.78;52950.44;0.00;2502.12;19030.98;28792.48;28422.72;11323.99;864627.88;9118.85
4;expensive-peak-PtH;4188;6353.33;11106.79;59396.98;4274175.91;78799.71;573420.28;53094.63;0.00;2408.00;22075.93;23844.29;20901.38;13002.04;863022.31;9147.89
9;expensive-base-PtH;4446;7115.65;11106.79;59581.40;4252717.29;79453.77;595842.78;52441.47;0.00;2451.41;6932.81;19550.87;25996.97;23998.69;864550.53;9165.61
3;expensive-peak-PtH;4214;6093.49;11106.79;59444.36;4273096.99;78958.21;573008.27;53137.00;0.00;2679.63;22089.62;23962.46;20892.90;12989.85;863166.48;9158.91
9;expensive-import;4065;3841.41;11106.79;58656.08;4302420.44;79222.93;633631.29;52984.08;0.00;9051.42;15983.16;18133.66;21179.17;23180.71;873477.92;6956.29
8;expensive-peak-PtH;4307;8243.37;11106.79;59379.29;4267825.17;79424.08;573140.46;51929.90;0.00;2522.13;20228.12;24101.89;26752.83;12917.97;864044.87;9174.22
8;extreme-electrolysis-buildout;4547;6724.87;11106.79;59145.05;4250507.80;81008.37;598700.90;53242.06;0.02;722.40;14284.55;19569.30;23991.53;24517.33;858343.80;8927.89
8;no-buildout-limits;4337;7059.21;11106.79;60217.86;4233919.47;82179.84;598654.83;53918.45;0.01;7224.00;4000.38;19563.74;24503.70;34747.10;852992.90;8472.08
8;expensive-import;3867;4186.29;11106.79;58654.62;4298772.07;79143.82;634954.26;53002.75;0.00;9051.42;15689.08;19564.74;24058.82;21517.78;874005.06;6922.79
5;extreme-electrolysis-buildout;4210;4458.36;11106.79;61035.81;4257651.58;80859.99;597125.48;54405.21;0.00;1084.32;14694.97;19447.42;20258.55;25211.02;858257.37;8918.83
6;extreme-electrolysis-buildout;4204;6673.64;11106.79;60149.61;4252922.75;80987.83;595703.26;53046.55;0.00;1444.80;14584.75;19724.01;21251.21;24816.97;858501.08;8965.55
9;expensive-peak-PtH;4293;6119.32;11106.79;59438.33;4272761.73;78981.64;572787.60;53146.08;0.00;2655.92;22075.23;23553.85;21442.53;12965.25;863214.42;9160.09
4;extreme-electrolysis-buildout;4380;5627.92;11106.79;60973.58;4256631.73;80778.57;598073.00;53821.70;0.00;722.40;14699.20;19602.44;20052.52;25277.24;858369.91;8895.85
2;high-electrolysis-buildout;3712;8864.70;11106.79;59898.59;4273004.90;77420.98;574471.56;51199.71;0.00;5959.39;21996.61;7937.70;6480.35;21821.90;869965.82;9688.61
2;expensive-peak-PtH;4045;7749.56;11106.79;59299.56;4273624.17;78392.57;565321.52;52508.53;0.00;3860.76;53403.41;0.00;1745.36;17893.15;865302.02;9497.77
9;extreme-electrolysis-buildout;3974;5847.41;11106.79;60928.50;4256379.29;80897.23;596348.34;53661.74;0.00;838.15;14646.65;19082.51;21173.93;25102.25;858406.91;8929.91
7;expensive-import;3736;5259.50;11106.79;58695.03;4300753.51;78909.77;635589.63;52322.95;0.00;9051.42;15571.27;23462.48;25391.44;18960.83;874829.97;6913.66
3;extreme-electrolysis-buildout;4029;4998.19;11106.79;61000.16;4256794.15;80874.18;597412.56;53994.74;0.00;788.18;14725.55;19609.43;20134.34;25185.16;858402.95;8925.59
7;no-buildout-limits;4017;7668.29;11106.79;60284.45;4230299.06;82384.43;601290.37;53631.60;0.00;7224.00;3610.79;24942.95;25261.55;32950.04;853971.67;8453.36
9;no-buildout-limits;3976;5718.87;11106.79;60206.95;4232801.15;82100.62;599669.48;54697.15;0.00;7224.00;4299.17;19622.19;21178.66;35772.68;852103.22;8427.90
4;no-buildout-limits;3830;5606.59;11106.79;60170.70;4232601.63;81973.01;600357.10;54769.60;0.00;7224.00;4651.95;19856.03;20275.17;35854.92;851740.35;8380.39
2;expensive-import;3474;4327.97;11106.79;58638.73;4308490.53;78821.51;626283.51;52820.46;0.00;11167.86;35648.27;0.00;2639.74;32705.60;874255.15;7222.03
3;no-buildout-limits;3981;6512.44;11106.79;60209.65;4234065.62;82040.50;599559.46;54625.15;0.00;7224.00;4478.77;19974.38;20358.96;35783.96;851903.93;8417.50
2;extreme-electrolysis-buildout;3482;8439.15;11106.79;60280.90;4249907.04;80429.80;593459.62;52371.24;0.02;2408.00;35768.17;553.36;1601.71;35334.06;857932.93;9318.42
2;no-buildout-limits;3544;8074.11;11106.79;59582.40;4231006.64;81559.67;594362.95;53283.42;0.00;8516.70;34026.11;710.55;1678.61;40199.86;851947.41;8782.22
2;cheap-import;1;9531.29;11106.79;59681.99;4226336.50;79484.76;562454.19;52722.92;0.00;722.40;27779.74;1513.52;651.99;31419.24;862764.05;10161.66
2;ref;1;6131.80;11106.79;59302.13;4262149.04;79272.34;585513.39;52994.71;0.00;3860.76;31728.34;929.02;1126.55;31697.41;864466.60;9438.75
7;ref;3485;8421.60;11106.79;59371.91;4259505.90;79893.33;593210.96;52336.99;0.00;2408.00;14625.70;25771.17;26747.79;13749.60;864974.54;9028.71
4;ref;2974;5126.44;11106.79;59407.60;4264318.68;79391.37;591994.70;54114.73;0.00;2408.00;15227.23;19522.03;20359.50;18276.00;863027.14;8987.00
3;ref;2927;3946.52;11106.79;59411.07;4265371.56;79449.55;591726.92;54684.06;0.00;2408.00;15237.92;19439.26;20475.60;18195.89;863073.43;9026.27
9;ref;2272;5494.94;11106.79;59387.41;4263989.68;79424.50;592088.70;54034.24;0.00;2408.00;15200.67;18961.02;21416.60;18125.39;863076.37;9008.35
8;ref;1819;5469.11;11106.79;59290.27;4262713.57;79659.96;591718.14;53902.31;0.00;2408.00;14976.89;19314.58;26708.90;15933.92;863699.68;9012.62
